Data Bencana;;;;;;;;;;;;;;;
No.;Kode Identitas Bencana;ID Kabupaten;Tanggal Kejadian;Kejadian;Lokasi;Kabupaten;Provinsi;Kronologi & Dokumentasi;Penyebab;Meninggal;Hilang;Terluka;Rumah Rusak;Rumah Terendam;Fasum Rusak
19;7204 107 2023 09 024 1;7204;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Pamona Selatan Ds. Pasir Putih;POSO;SULAWESI TENGAH;Dokumentasi;Belum diketahui;;;;0;;0
20;1906 107 2023 09 024 1;1906;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Gantung  Ds. Selinsing;BELITUNG TIMUR;KEPULAUAN BANGKA BELITUNG;Dokumentasi;masih dalam penyelidikan pihak berwajib;;;;0;;0
21;1103 101 2023 09 024 1;1103;24/09/23;BANJIR;Kec. Kota Bahagia Ds. Betong  Kec. Trumon Tengah Ds. Ladang Rimba Ds. Gampong  Teungoh;ACEH SELATAN;ACEH;Dokumentasi;Dipicu oleh intensitas curah hujan yang cukup tinggi;;;;0;12;0
22;3213 107 2023 09 024 1;3213;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Cijambe Ds. Gunungtua Kec. Cibogo Ds. Cibogo;SUBANG;JAWA BARAT;Dokumentasi;Dalam proses penyelidikan;;;;0;;0
23;1902 107 2023 09 024 1;1902;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. TanjungPandan Ds. Dukong Kec.  Ds. Perawas Kec. Badau  Ds. Air Batu Buding;BELITUNG;KEPULAUAN BANGKA BELITUNG;Dokumentasi;pembukaan lahan;;;;0;;0
24;6311 107 2023 09 024 1;6311;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Paringin Ds. Haur Batu Kec. Batumandi Ds. Mantimin;BALANGAN;KALIMANTAN SELATAN;Dokumentasi;Belum diketahui;;;;0;;0
25;1809 107 2023 09 024 1;1809;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Kedondong Ds. Babakanloa;PESAWARAN;LAMPUNG;Dokumentasi;masih dalam penyelidikan pihak berwajib;;;;0;;0
26;3501 107 2023 09 023 1;3501;23/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Pacitan Ds. Ponggok;PACITAN;JAWA TIMUR;Dokumentasi;Dalam proses penyelidikan;;;;0;;0
27;3209 107 2023 09 023 1;3209;23/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Sedong Ds. Winduhaji;CIREBON;JAWA BARAT;Dokumentasi;Dalam proses penyelidikan;;;;0;;0
28;6401 107 2023 09 023 1;6401;23/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Tanah Grogot Ds. Jone;PASER;KALIMANTAN TIMUR;Dokumentasi;Dalam proses penyelidikan;;;;0;;0
29;1275 105 2023 09 023 1;1275;23/09/23;PUTING BELIUNG;Kec. Medan Denai Kel. Tegal Sari Mandala II;KOTA MEDAN;SUMATERA UTARA;Dokumentasi;Angin kencang;;;;0;;0
30;3202 107 2023 09 023 1;3202;23/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Gunungguruh Ds. Gunungguruh;SUKABUMI;JAWA BARAT;Dokumentasi;Dalam proses penyelidikan;;;;0;;0
31;1871 106 2023 09 023 1;1871;23/09/23;KEKERINGAN;Kec. Wayhalim Kel. Gunung Sulah Kec. Teluk Betung Timur Kel. Sukamaju   Kec. Sukabumi Kel. Waylaga Kec. Kemiling Kel. Kemiling Permai Kec. Sukarame Kel. Sukarame;KOTA BANDAR LAMPUNG;LAMPUNG;Dokumentasi;Dipicu oleh musim kemarau panjang;;;;0;;0
32;3210 107 2023 09 023 1;3210;23/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Lemahsugih Ds. Lemahsugih;MAJALENGKA;JAWA BARAT;Dokumentasi;Dalam proses penyelidikan;;;;0;;0
33;3308 107 2023 09 022 1;3308;22/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Bandongan Ds. Salamkanci;MAGELANG;JAWA TENGAH;Dokumentasi;Dalam proses penyelidikan;;;;0;;0
34;3213 107 2023 09 022 1;3213;22/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Cibogo  Ds. Cibogo;SUBANG;JAWA BARAT;Dokumentasi;Dalam proses penyelidikan;;;;0;;0
35;6501 101 2023 09 022 1;6501;22/09/23;BANJIR;Kec. Malinau Kota Ds. Pelita Kanaan  Kec. Malinau Barat Ds. Paking Kec. Mentarang Hulu Ds. Pakung Kec. Malinau Utara Kec. Mentarang;MALINAU;KALIMANTAN UTARA;Dokumentasi;Dipicu oleh intensitas curah hujan yang tinggi disertai luapan air sungai sehingga mengakibatkan banjir pada hari Jumat, 22 September 2023, Pkl. 17:27 WITA;;;;4;;1
36;9205 101 2023 09 022 1;9205;22/09/23;BANJIR;Kec. Kota Waisai Kel. Waisai;RAJA AMPAT;PAPUA BARAT DAYA;Dokumentasi;Dipicu oleh intensitas curah hujan yang cukup tinggi;;;;0;20;0
37;1212 105 2023 09 022 1;1212;22/09/23;PUTING BELIUNG;Kec. Patumbak Ds. Marindal 2;DELI SERDANG;SUMATERA UTARA;Dokumentasi;Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang;;;;8;;0
38;1901 105 2023 09 022 1;1901;22/09/23;PUTING BELIUNG;Kec. Bangka Utara Ds. Sempan Kec. Riau Silip Ds. Pugul;BANGKA;KEPULAUAN BANGKA BELITUNG;Dokumentasi;Dipicu oleh angin yang cukup kencang;;;;10;;0
39;1212 102 2023 09 022 1;1212;22/09/23;TANAH LONGSOR;Kec.  Pancur Batu  Ds. Durin Tonggal;DELI SERDANG;SUMATERA UTARA;Dokumentasi;Dipicu oleh intensitas curah hujan yang cukup tinggi;;;;2;;0
40;3204 106 2023 09 022 1;3204;22/09/23;KEKERINGAN;Kec. Banjaran Ds. Neglasari;BANDUNG;JAWA BARAT;Dokumentasi;Dipicu oleh musim kemarau yang panjang;;;;0;;0
41;7304 106 2023 09 022 1;7304;22/09/23;KEKERINGAN;Kec. Bangkala Kel. Pallengu Kec. Bontoramba Ds. Baraya Kec. Kelara  Kel. Tolo Utara;JENEPONTO;SULAWESI SELATAN;Dokumentasi;Dipicu oleh musim kemarau yang panjang;;;;0;;0
42;3310 107 2023 09 022 1;3310;22/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Bayat Ds. Banyuripan;KLATEN;JAWA TENGAH;Dokumentasi;Dalam proses penyelidikan;;;;0;;0
43;3604 105 2023 09 022 1;3604;22/09/23;PUTING BELIUNG;Kec. Carenang Ds. Pamanuk;SERANG;BANTEN;Dokumentasi;Dipicu oleh angin cukup kencang;;;;1;;0
