bulan,titik_lokasi,kecamatan,wilayah,panjang/luas,satuan_panjang/luas,tanggal,volume_sampah_perhari(m3)
10,Kali / Sungai Sentiong  Ruas Dewi Sri,Johar Baru,Jakarta Pusat,464,m,1,2
10,Kali / Sungai Sentiong  Ruas Abapon,Johar Baru,Jakarta Pusat,464,m,1,3
10,Kali / Sungai Sentiong  JL Tanah Tinggi,Johar Baru,Jakarta Pusat,464,m,1,2
10,Kali / Sungai Sentiong Jl.Galur  Pombensin,Johar Baru,Jakarta Pusat,606,m,1,2
10,Kali / Sungai Sentiong  Jl. Timah,Johar Baru,Jakarta Pusat,310,m,1,5
10,PHB Kawi Kawi Bawah,Johar Baru,Jakarta Pusat,620,m,1,1
10,PHB Kayu Awet,Johar Baru,Jakarta Pusat,300,m,1,1
10,PHB Pulo Gundul,Johar Baru,Jakarta Pusat,500,m,1,1
10,PHB Tanah Tinggi XII,Johar Baru,Jakarta Pusat,500,m,1,1
10,PHB Bala Dewa,Johar Baru,Jakarta Pusat,330,m,1,1
10,PHB Percetakan Negara II,Johar Baru,Jakarta Pusat,500,m,1,1
10,PHB Johar Baru V,Johar Baru,Jakarta Pusat,200,m,1,1
10,Sungai Utan Kayu Jl Pengayoman,Cempaka Putih,Jakarta Pusat,600,m,1,1
10,Sungai Utan Kayu Jembatan Serong,Cempaka Putih,Jakarta Pusat,400,m,1,2
10,Kali / Sungai Utan Kayu Jembatan Serong  SLTP 137,Cempaka Putih,Jakarta Pusat,950,m,1,1
10,Kali / Sungai Utan Kayu SLTP 137  Kebun Sayur,Cempaka Putih,Jakarta Pusat,1250,m,1,1
10,Kali / Sungai Utan Kayu Jembatan Kebun Sayur  Suprapto,Cempaka Putih,Jakarta Pusat,700,m,1,2
10,Kali / Sungai Utan Kayu Suprapto cempaka baru,Cempaka Putih,Jakarta Pusat,900,m,1,2
10,Kali / Sungai Utan Kayu Cempaka Baru  Kodam,Cempaka Putih,Jakarta Pusat,900,m,1,2
10,PHB Rawa Kebo,Cempaka Putih,Jakarta Pusat,1100,m,1,1
10,PHB Mardani,Cempaka Putih,Jakarta Pusat,860,m,1,1
10,PHB Cempaka Raya,Cempaka Putih,Jakarta Pusat,600,m,1,1
10,PHB Suprapto/Bpjs,Cempaka Putih,Jakarta Pusat,1570,m,1,1
10,PHB Yatof,Cempaka Putih,Jakarta Pusat,250,m,1,1
10,PHB Cempaka Putih Indah,Cempaka Putih,Jakarta Pusat,210,m,1,1
10,PHB Cempaka Putih Barat 25,Cempaka Putih,Jakarta Pusat,220,m,1,1
10,PHB Suprapto Bea Cukai,Cempaka Putih,Jakarta Pusat,680,m,1,1
10,PHB Rawa Kerbau,Cempaka Putih,Jakarta Pusat,550,m,1,1
10,Kali / Sungai Ciliwung Ruas Veteran,Gambir,Jakarta Pusat,2000,m,1,1
10,Kali / Sungai Ciliwung Ruas Pejambon,Gambir,Jakarta Pusat,1000,m,1,1
10,Kali / Sungai Ciliwung Ruas Belakang Kemenkeu,Gambir,Jakarta Pusat,1000,m,1,-
