bulan,tanggal,volume_sampah_perhari(m3),tahun
7,23,2757.53,2020
7,24,2505.78,2020
7,25,2459.58,2020
7,26,2919.92,2020
7,27,2743.3,2020
7,28,2862.19,2020
7,29,2635.45,2020
7,30,2703.8,2020
7,31,2269.75,2020
6,1,2457.8,2020
6,2,2671.09,2020
6,3,2290.61,2020
6,4,2517.74,2020
6,5,2575.1,2020
6,6,2674.11,2020
6,7,2401.92,2020
6,8,2635.52,2020
6,9,2777.67,2020
6,10,3011.6,2020
6,11,2742.31,2020
6,12,2726.08,2020
6,13,1999.3,2020
6,14,1766.0,2020
6,15,2642.47,2020
6,16,2765.85,2020
6,17,2876.88,2020
6,18,2906.91,2020
6,19,2590.7,2020
6,20,2548.28,2020
6,21,2238.19,2020
6,22,2767.29,2020
6,23,3047.67,2020
6,24,2601.62,2020
6,25,2634.47,2020
6,26,2911.4,2020
6,27,2813.76,2020
6,28,2355.83,2020
6,29,2795.76,2020
6,30,2645.2,2020
6,1,2696.95,2021
6,2,2708.82,2021
6,3,2594.42,2021
6,4,2611.96,2021
6,5,2307.66,2021
6,6,2542.7400000000002,2021
6,7,2736.27,2021
6,8,2490.16,2021
6,9,2712.06,2021
6,10,2791.52,2021
6,11,2534.98,2021
6,12,2757.81,2021
6,13,2391.76,2021
6,14,2655.87,2021
6,15,2669.34,2021
6,16,2972.01,2021
6,17,2944.36,2021
6,18,2643.15,2021
6,19,2971.39,2021
6,20,2623.43,2021
6,21,2515.58,2021
6,22,2746.05,2021
6,23,3511.6,2021
6,24,2729.25,2021
6,25,2696.85,2021
6,26,2748.91,2021
6,27,2547.16,2021
6,28,2773.72,2021
6,29,2973.01,2021
6,30,2675.21,2021
3,1,2946.14,2020
3,2,2626.2400000000002,2020
3,3,2737.06,2020
3,4,2737.56,2020
3,5,2693.4,2020
3,6,2749.08,2020
3,7,2693.06,2020
3,8,2281.71,2020
3,9,2512.24,2020
3,10,2373.0,2020
3,11,2675.8,2020
3,12,2799.7,2020
3,13,2102.5,2020
3,14,2048.75,2020
3,15,2569.92,2020
3,16,2655.1,2020
3,17,2809.04,2020
3,18,2744.16,2020
3,19,2907.42,2020
3,20,2420.58,2020
3,21,2681.2,2020
3,22,2681.14,2020
3,23,2577.86,2020
3,24,2225.7,2020
3,25,2349.16,2020
3,26,2720.7,2020
3,27,2454.22,2020
3,28,2410.34,2020
3,29,2008.36,2020
3,30,2398.24,2020
3,31,2230.28,2020
3,1,2653.48,2021
3,2,2946.71,2021
3,3,2732.54,2021
3,4,2691.6,2021
3,5,2670.04,2021
3,6,2974.64,2021
3,7,2534.06,2021
3,8,2801.97,2021
3,9,2474.52,2021
3,10,2615.64,2021
3,11,2829.94,2021
3,12,2707.18,2021
3,13,2701.7400000000002,2021
3,14,2638.4,2021
3,15,2868.08,2021
3,16,2877.61,2021
3,17,3032.44,2021
3,18,2809.54,2021
3,19,2899.41,2021
3,20,2917.78,2021
3,21,2573.38,2021
3,22,2892.58,2021
3,23,2483.42,2021
3,24,2607.95,2021
3,25,2633.54,2021
3,26,2976.42,2021
3,27,3000.92,2021
3,28,2601.32,2021
3,29,2897.2,2021
