Date,Province,temperature_2m_mean (°C),rain_sum (mm),Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir
April 2019,Sumatera Barat,24.1423614,6.7966668,0,0,0,4,222,4,6
April 2019,Sumatera Selatan,26.38125013333333,9.436666565,0,0,0,27,1335,10,8
April 2019,Sumatera Utara,20.733888566666668,9.746666776333331,0,0,0,1,0,1,1
April 2019,Yogyakarta,25.82416663333333,6.323332991333333,0,0,0,0,0,0,0
April 2020,Aceh,21.752222066666665,11.843333233333334,1,0,0,57,2887,12,9
April 2020,Bali,25.03249986666667,10.3333333,0,0,0,0,0,0,0
April 2020,Banten,26.13874923333333,10.566666643333331,0,0,0,0,331,0,3
April 2020,Bengkulu,26.319999900000003,7.4000001,0,0,0,332,25,0,4
April 2020,Gorontalo,23.329027866666667,12.170000046666669,0,0,0,0,0,0,0
April 2020,Jakarta Raya,26.5772216,7.476666705,0,0,0,0,53,0,7
April 2020,Jambi,26.456110733333333,11.566666656666666,0,0,0,2,4219,1,5
April 2020,Jawa Barat,20.7179168,14.283333361666667,2,0,0,6,7656,2,15
April 2020,Jawa Tengah,25.271527833333334,6.476666856666667,0,0,0,7,1282,1,13
April 2020,Jawa Timur,26.28513913333333,7.296666673333333,1,0,1,0,919,5,10
April 2020,Kalimantan Barat,25.9665276,9.54333336,0,0,0,0,2678,0,2
April 2020,Kalimantan Selatan,25.366666666666667,10.94,0,0,0,0,0,0,0
April 2020,Kalimantan Tengah,26.35694426666667,12.70333374,3,3,0,0,1910,29,10
April 2020,Kalimantan Timur,26.79861126666667,9.646666786666666,0,0,0,0,1103,0,2
April 2020,Kalimantan Utara,24.61777753333333,7.743332615,0,0,0,0,30,0,1
April 2020,Kepulauan Bangka Belitung,26.8323602,14.863334033333333,0,0,0,0,0,0,0
April 2020,Kepulauan Riau,27.975555566666667,5.453333384666666,0,0,0,0,0,0,0
April 2020,Lampung,26.428333866666662,10.656666721333332,0,0,0,1166,25,3,2
April 2020,Maluku,23.194722533333334,12.573333558333331,0,0,0,0,0,0,0
April 2020,Maluku Utara,24.7781937,17.473333605,0,0,0,119,273,0,2
April 2020,Nusa Tenggara Barat,25.354167,4.196666581666666,0,0,0,0,160,0,1
April 2020,Nusa Tenggara Timur,25.99638936666667,5.826666733333334,0,0,0,0,0,0,0
April 2020,Papua,20.696944533333333,29.1266667,0,0,0,0,0,0,0
April 2020,Papua Barat,21.84986093333333,19.51333366333333,0,0,0,0,0,0,0
April 2020,Riau,26.28263903333333,12.56666689,0,0,0,0,0,0,0
April 2020,Sulawesi Barat,17.204722166666667,17.426666543333333,0,0,0,0,0,0,0
April 2020,Sulawesi Selatan,24.888194,12.286666635,0,0,0,0,187,0,3
April 2020,Sulawesi Tengah,19.298055366666667,18.93333374666667,0,0,0,6,74,0,3
April 2020,Sulawesi Tenggara,25.8629171,10.533333396666668,0,0,0,0,0,0,0
April 2020,Sulawesi Utara,25.7381949,7.606666836666666,3,0,0,7343,0,20,2
April 2020,Sumatera Barat,24.0934722,10.41333318,0,0,0,1,245,4,5
