Tahun,Province,temperature_2m_mean (°C),rain_sum (mm)
2018,Aceh,21.86762578630137,8.906575363534246
2018,Bali,24.30456631780822,7.746027302657534
2018,Banten,26.087785276712328,5.938356152630137
2018,Bengkulu,25.604863027397258,9.159178139232877
2018,Gorontalo,23.331027372602737,11.960548150630135
2018,Jakarta Raya,26.657317320547946,4.1780821693972605
2018,Jambi,26.184703112328766,7.743835631972603
2018,Jawa Barat,20.073915463013698,6.876712360767124
2018,Jawa Tengah,25.540673665753424,5.1358904023287675
2018,Jawa Timur,26.513150695890413,4.015068547945205
2018,Kalimantan Barat,25.82816213150685,7.851506860794521
2018,Kalimantan Selatan,25.044109589041096,6.963835616438357
2018,Kalimantan Tengah,26.17699764657534,8.36410960279452
2018,Kalimantan Timur,26.29003437534247,7.508219153643836
2018,Kalimantan Utara,24.135433695890413,9.581917856164385
2018,Kepulauan Bangka Belitung,26.555547912328766,7.893698636356164
2018,Kepulauan Riau,26.9085844,6.407123291972603
2018,Lampung,26.298527342465754,6.519999936602739
2018,Maluku,22.731347076712332,8.287671273452053
2018,Maluku Utara,24.573207915068494,12.099178081178083
2018,Nusa Tenggara Barat,25.018139432876712,5.036438432246576
2018,Nusa Tenggara Timur,26.122237487671235,5.4375343679178085
2018,Papua,20.067488561643835,28.693150809452057
2018,Papua Barat,21.306107334246576,13.095616422
2018,Riau,26.04465774520548,6.8364383389041095
2018,Sulawesi Barat,16.239520494520548,9.122465836054795
2018,Sulawesi Selatan,24.573949846575342,7.9558904743287675
2018,Sulawesi Tengah,18.89584461917808,15.355616464328767
2018,Sulawesi Tenggara,25.983333263013698,7.494520547506849
2018,Sulawesi Utara,25.142191712328767,6.486849284493151
2018,Sumatera Barat,23.56380144383562,6.157534257123288
2018,Sumatera Selatan,26.490513600000003,6.874794552273973
2018,Sumatera Utara,19.96184934520548,10.104657563863015
2018,Yogyakarta,25.14764838630137,3.827123272575342
2019,Aceh,22.117431616438356,8.261917795671232
2019,Bali,24.636449769863013,7.271780826958904
2019,Banten,26.53216893150685,4.282191780219178
2019,Bengkulu,25.715650706849317,6.450137011671233
2019,Gorontalo,23.52166680547945,9.298082276219178
2019,Jakarta Raya,26.968059446575342,4.345479397863014
2019,Jambi,26.652922342465754,5.98301370539726
2019,Jawa Barat,20.410947610958903,5.582739801178082
2019,Jawa Tengah,25.719737391780825,5.229589029561644
2019,Jawa Timur,26.575159726027398,4.464383553260274
2019,Kalimantan Barat,26.15423523561644,6.886849237616438
2019,Kalimantan Selatan,25.522465753424658,5.745479452054794
2019,Kalimantan Tengah,26.479143715068496,6.8575341940821914
2019,Kalimantan Timur,26.66713469863014,5.3189041017260275
2019,Kalimantan Utara,24.2681733890411,8.148219244054795
2019,Kepulauan Bangka Belitung,26.81986298630137,7.220547992136986
2019,Kepulauan Riau,27.29127831780822,4.998356166958904
2019,Lampung,26.758070906849316,5.611232914493151
2019,Maluku,22.700582172602736,8.095068520246574
2019,Maluku Utara,24.684063906849318,9.749041196383562
2019,Nusa Tenggara Barat,25.15668950136986,4.801917821808219
2019,Nusa Tenggara Timur,25.962283057534247,4.069041088136986
2019,Papua,20.045433706849316,22.865479256438356
2019,Papua Barat,21.440764863013698,13.008767224794521
2019,Riau,26.48869863561644,5.573972658273973
2019,Sulawesi Barat,16.52279679452055,7.169863096876712
2019,Sulawesi Selatan,24.586198613698627,7.820547946273972
2019,Sulawesi Tengah,19.006940682191782,12.812328873972602
2019,Sulawesi Tenggara,26.175456528767125,7.182465797643836
2019,Sulawesi Utara,25.171849071232874,5.333424667342466
2019,Sumatera Barat,24.116084441095893,4.77013703679452
2019,Sumatera Selatan,27.05996575616438,5.359725999835616
2019,Sumatera Utara,20.155753430136986,8.443835667178083
2019,Yogyakarta,25.141678021917805,4.219725992410959
2020,Aceh,21.479155226775955,10.307103814016394
2020,Bali,24.669410524590166,8.407376944480875
2020,Banten,25.944079950819674,9.04289616409836
2020,Bengkulu,26.024203106557376,9.486065563442622
2020,Gorontalo,23.12193764754098,13.691256919754098
2020,Jakarta Raya,26.607946278688523,6.526502713770491
2020,Jambi,26.32403235519126,6.997814177431693
2020,Jawa Barat,20.321800942622954,10.548360684699453
2020,Jawa Tengah,25.504804090163937,7.69289638057377
2020,Jawa Timur,26.442884825136613,4.873497304535519
2020,Kalimantan Barat,25.732046928961747,8.963934418224044
2020,Kalimantan Selatan,25.16393442622951,8.684972677595628
2020,Kalimantan Tengah,26.25759318306011,9.2882514115847
2020,Kalimantan Timur,26.46697405464481,7.553278789972678
2020,Kalimantan Utara,24.227891546448085,8.41584700204918
2020,Kepulauan Bangka Belitung,26.548542721311478,8.917486426229509
2020,Kepulauan Riau,27.09334030874317,7.38879783568306
2020,Lampung,26.278381273224042,7.452732172978142
2020,Maluku,22.996755456284156,8.875409847404372
2020,Maluku Utara,24.61848812021858,15.735245975956284
2020,Nusa Tenggara Barat,25.208139849726777,4.920491870218579
2020,Nusa Tenggara Timur,26.065255103825137,5.47021860295082
2020,Papua,20.311019980874317,32.11666642087432
2020,Papua Barat,21.709654106557377,15.098633912786886
2020,Riau,26.282752639344263,6.822404411475411
2020,Sulawesi Barat,16.86376367486339,12.399726802213117
2020,Sulawesi Selatan,24.63637280327869,10.664480950519126
2020,Sulawesi Tengah,19.05410954644809,17.629781539590166
2020,Sulawesi Tenggara,25.75268650819672,9.149726731174862
2020,Sulawesi Utara,25.3253986284153,8.613114770819672
2020,Sumatera Barat,23.98181924043716,5.9770491699180335
2020,Sumatera Selatan,26.298724915300546,7.076229517021858
