,Provinsi,Tahun,Timbulan Sampah Harian (Ton),Timbulan Sampah Tahunan (Ton)
112,Sulawesi Barat,2021,257.84000000000003,94114.88999999998
113,Sulawesi Barat,2022,266.84000000000003,97394.78
114,Sulawesi Selatan,2019,1970.6,719270.8899999999
115,Sulawesi Selatan,2020,3078.9300000000003,1123807.02
116,Sulawesi Selatan,2021,3334.2000000000003,1216987.46
117,Sulawesi Selatan,2022,2490.04,908859.4400000001
118,Sulawesi Tengah,2019,622.1,227061.44
119,Sulawesi Tengah,2020,727.92,265689.17000000004
120,Sulawesi Tengah,2021,698.39,254913.08
121,Sulawesi Tengah,2022,1049.77,383167.16000000003
122,Sulawesi Tenggara,2019,250.57999999999998,91459.73
123,Sulawesi Tenggara,2020,258.4,94315.13
124,Sulawesi Tenggara,2021,343.69,125445.34
125,Sulawesi Tenggara,2022,630.8100000000001,230244.58000000002
126,Sulawesi Utara,2019,890.0999999999999,324890.49
127,Sulawesi Utara,2020,847.21,309228.05
128,Sulawesi Utara,2021,928.81,339012.07
129,Sulawesi Utara,2022,1331.3500000000001,485946.26
130,Sumatera Barat,2019,1697.8100000000002,619704.7600000002
131,Sumatera Barat,2020,1972.08,719807.71
132,Sumatera Barat,2021,1805.1399999999999,658876.7000000001
133,Sumatera Barat,2022,2625.3,958235.3
134,Sumatera Selatan,2019,2861.84,1044567.5900000001
135,Sumatera Selatan,2020,3884.5099999999998,1417845.83
136,Sumatera Selatan,2021,2520.85,920109.3800000001
137,Sumatera Selatan,2022,3634.1000000000004,1326447.71
138,Sumatera Utara,2019,4421.83,1613968.8
139,Sumatera Utara,2020,4282.8099999999995,1563224.1
140,Sumatera Utara,2021,5370.18,1960111.15
141,Sumatera Utara,2022,5222.15,1906079.3399999999
142,Yogyakarta,2019,2146.98,783652.45
143,Yogyakarta,2020,2124.13,775306.0700000001
144,Yogyakarta,2021,1240.1100000000001,452637.63
145,Yogyakarta,2022,858.2,313245.2
