,objectid,uid,updated,nm_balai,kd_prov,provinsi,kab_kota,kecamatan,kel_desa,kd_kem,kd_unor,kl_dat_das,thn_data
27,73,70ad3302-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Kalimantan Barat,61.0,Kalimantan Barat,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
28,74,71014816-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Kalimantan Selatan,63.0,Kalimantan Selatan,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
29,75,71535467-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Kalimantan Tengah,62.0,Kalimantan Tengah,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
30,76,71a5c53d-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Kalimantan Timur,64.0,Kalimantan Timur,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
31,77,71ffcdf4-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Kalimantan Utara,65.0,Kalimantan Utara,Tidak Diketahui,Sesayap,"Jl. Perintis, Jl salmon, Jl Manunggal",33.0,5.0,Tidak Diketahui,Tidak Diketahui
32,78,71ffcf01-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW Kalimantan Utara,65.0,Kalimantan Utara,Tidak Diketahui,Tanjung Selor Hilir,"Jalan Binjai, Jalan Ulin, Jalan Meranti dan Jalan ",33.0,5.0,Tidak Diketahui,Tidak Diketahui
33,79,71ffcf4a-ca7a-11eb-a0e3-0050568846de,1631806803000,BPPW Kalimantan Utara,65.0,Kalimantan Utara,Tarakan,Tarakan Barat,Karang Anyar,33.0,5.0,Tidak Diketahui,Tidak Diketahui
34,80,71ffcf8b-ca7a-11eb-a0e3-0050568846de,1631806803000,BPPW Kalimantan Utara,64.0,Kalimantan Timur,Berau,Segah,Batu Rajang,33.0,5.0,Tidak Diketahui,Tidak Diketahui
35,81,71ffcfc4-ca7a-11eb-a0e3-0050568846de,1631806803000,BPPW Kalimantan Utara,65.0,Kalimantan Utara,Tarakan,Tarakan Tengah,Pamusian,33.0,5.0,Tidak Diketahui,Tidak Diketahui
36,82,71ffcffd-ca7a-11eb-a0e3-0050568846de,1631806803000,BPPW Kalimantan Utara,65.0,Kalimantan Utara,Tarakan,Tarakan Barat,Karang Anyar,33.0,5.0,Tidak Diketahui,Tidak Diketahui
37,83,71ffd037-ca7a-11eb-a0e3-0050568846de,1631806803000,BPPW Kalimantan Utara,65.0,Kalimantan Utara,Tarakan,Tarakan Barat,Karang Anyar,33.0,5.0,Tidak Diketahui,Tidak Diketahui
38,84,71ffd06d-ca7a-11eb-a0e3-0050568846de,1631806803000,BPPW Kalimantan Utara,65.0,Kalimantan Utara,Nunukan,Sebatik Utara,Pancang,33.0,5.0,Tidak Diketahui,Tidak Diketahui
39,85,71ffd195-ca7a-11eb-a0e3-0050568846de,1631806803000,BPPW Kalimantan Utara,65.0,Kalimantan Utara,Tarakan,Tarakan Barat,Karang Anyar,33.0,5.0,Tidak Diketahui,Tidak Diketahui
40,86,71ffd1d2-ca7a-11eb-a0e3-0050568846de,1628401843000,Tidak Diketahui,0.0,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
41,87,7261975f-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Kepulauan Riau,21.0,Kepulauan Riau,Tidak Diketahui,Tanjung Pinang,Tanjung Pinang,33.0,5.0,Tidak Diketahui,Tidak Diketahui
42,88,72c1c643-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Lampung,18.0,Lampung,Tidak Diketahui,Lampung Selatan,Lampung Selatan,33.0,5.0,Tidak Diketahui,Tidak Diketahui
43,89,72c1c85c-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Lampung,18.0,Lampung,Tidak Diketahui,Tulang Bawang,Tulang Bawang,33.0,5.0,Tidak Diketahui,Tidak Diketahui
44,90,72c1c8b2-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Lampung,18.0,Lampung,Tidak Diketahui,Tulang Bawang,Tulang Bawang,33.0,5.0,Tidak Diketahui,Tidak Diketahui
45,91,72c1c8ed-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Lampung,18.0,Lampung,Tidak Diketahui,Pringsewu,Pringsewu,33.0,5.0,Tidak Diketahui,Tidak Diketahui
46,92,731b91c9-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Maluku,81.0,Maluku,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
47,93,7390f28a-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Nusa Tenggara Barat,52.0,Nusa Tenggara Barat,Tidak Diketahui,Kec. Pujut,Pujut,33.0,5.0,Drainase Lingkungan,2021.0
48,94,7390f3ab-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW Nusa Tenggara Barat,52.0,Nusa Tenggara Barat,Tidak Diketahui,Kec. Cakranegara,Tidak Diketahui,33.0,5.0,Drainase Lingkungan,2021.0
49,95,7390f3f3-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Nusa Tenggara Barat,52.0,Nusa Tenggara Barat,Tidak Diketahui,Kec. Gunungsari ,Tidak Diketahui,33.0,5.0,Drainase Lingkungan,2021.0
50,100,73d2a67c-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Nusa Tenggara Timur,53.0,Nusa Tenggara Timur,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
51,101,741fa53b-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Papua Barat,94.0,Papua Barat,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
52,102,741812ed-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Papua,91.0,Papua,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
53,103,74bbe2f6-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Riau,14.0,Riau,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
54,104,74ff625d-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Barat,76.0,Sulawesi Barat,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
55,105,754d0e0c-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Selatan,73.0,Sulawesi Selatan,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
