No,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
31,3603 101 2022 012 029 1,3603,29/12/22,BANJIR,TANGERANG,BANTEN,Dokumentasi,curah hujan intensitas tinggi dan meluapnya sungai cidurian .,0,0,0,0,48,0
32,3509 105 2022 012 029 1,3509,29/12/22,PUTING BELIUNG,JEMBER,JAWA TIMUR,Dokumentasi,hujan deras disertai angin kencang,0,0,0,1,0,0
33,7310 105 2022 012 029 1,7310,29/12/22,PUTING BELIUNG,BARRU,SULAWESI SELATAN,Dokumentasi,Pada Pukul 19.15 WITA Terjadi Hujan Sedang hingga Lebat disertai Angin Kencang Sehingga mengakibatkan Pohon Tumbang dan Kerusakan Pemukiman di beberapa wilayah Kab. Baru,0,0,0,0,0,0
34,3374 101 2022 012 029 1,3374,29/12/22,BANJIR,KOTA SEMARANG,JAWA TENGAH,Dokumentasi,Belum Diketahui,0,0,0,3,0,0
35,3201 105 2022 012 029 1,3201,29/12/22,PUTING BELIUNG,BOGOR,JAWA BARAT,Dokumentasi,hujan deras disertai angin kencang dan kondisi bangunan yang sudah lapuk mengakibatkan satu unit rumah jebol di bagian atap.,0,0,0,0,0,0
36,7371 101 2022 012 029 1,7371,29/12/22,BANJIR,KOTA MAKASSAR,SULAWESI SELATAN,Dokumentasi,hujan dengan intensitas tinggi dan cuaca ekstrem,0,0,0,0,1176,0
37,1173 101 2022 012 029 1,1173,29/12/22,BANJIR,KOTA LANGSA,ACEH,Dokumentasi,hujan intensitas tinggi dan DAS ambruk,0,0,0,0,8,0
38,3510 105 2022 012 029 1,3510,29/12/22,PUTING BELIUNG,BANYUWANGI,JAWA TIMUR,Dokumentasi,hujan disertai angin kencang,0,0,0,0,0,0
39,3320 101 2022 012 029 1,3320,29/12/22,BANJIR,JEPARA,JAWA TENGAH,Dokumentasi,terjadi banjir rob dan gelombang tinggi di beberapa wilayah pesisir  Jepara yang mengakibatkan beberapa wilayah tergenang.,0,0,0,0,317,0
40,5304 105 2022 012 029 1,5304,29/12/22,PUTING BELIUNG,TIMOR TENGAH SELATAN,NUSA TENGGARA TIMUR,Dokumentasi,"cuaca ekstrem melanda wilayahnya sejak tanggal 29 Desember 2022 sampai dengan 04 Januari 2023. Peristiwa tersebut berdampak pada rusaknya rumah warga, fasilitas umum serta terhambatnya arus trasnportasi",0,0,0,25,0,0
41,3601 101 2022 012 028 1,3601,28/12/22,BANJIR,PANDEGLANG,BANTEN,Dokumentasi,Dipicu hujan dengan intensitas tinggi dengan durasi yang lama,0,0,0,0,94,0
42,3315 101 2022 012 027 1,3315,28/12/22,BANJIR,GROBOGAN,JAWA TENGAH,Dokumentasi,"Akibat Dampak Banjir di Wilayah Kecamatan Geyer dan air menuju hilir (Sungai Lusi) serta kiriman air dari hulu (Bendung Dumpil) sungai lusi tidak mampu menampung debit air,  sehingga air meluap menggenangi jalan dan area persawahan",0,0,0,0,518,0
43,7606 105 2022 012 028 1,7606,28/12/22,PUTING BELIUNG,MAMUJU TENGAH,SULAWESI BARAT,Dokumentasi,Cuaca Ekstrem yang melanda Wilayah Kabupaten Mamuju Tengah pada Rabu dini Hari,0,0,0,12,0,0
44,3604 105 2022 012 028 1,3604,28/12/22,PUTING BELIUNG,SERANG,BANTEN,Dokumentasi,Dipicu curah hujan disertai angin kencang,0,0,0,15,0,0
45,3514 102 2022 012 028 1,3514,28/12/22,TANAH LONGSOR,PASURUAN,JAWA TIMUR,Dokumentasi,hujan lebat,0,0,0,0,0,0
46,7322 101 2022 012 027 1,7322,28/12/22,BANJIR,LUWU UTARA,SULAWESI SELATAN,Dokumentasi,Akibat jebolnya tanggul di Desa tetangga yakni di desa Lembang Lembang tepatnya di dusun Sukamakmur hingga masuk ke wilayah desa Cenning,0,0,0,0,199,0
47,5311 101 2022 012 028 1,5311,28/12/22,BANJIR,ENDE,NUSA TENGGARA TIMUR,Dokumentasi,"Dipicu hujan sedang hingga lebat disertai angin kencang pada hari Rabu, 28 Desember 2022, Pkl. 12:45 WITA",0,0,0,0,44,1
48,3509 101 2022 012 028 1,3509,28/12/22,BANJIR,JEMBER,JAWA TIMUR,Dokumentasi,hujan dengan intensitas sedang hingga lebat yang mengakibatkan aliran sungai Kalijompo tidak dapat menampung debit air sehingga meluap ke pemukiman warga dengan ketinggian ±75 - 100 cm,0,0,0,0,0,0
49,3503 102 2022 012 027 1,3503,27/12/22,TANAH LONGSOR,TRENGGALEK,JAWA TIMUR,Dokumentasi,hujan dengan  intensitas sedang. Akibat guyuran hujan yg trs menerus mengakibatkan tanah yang berada di RT 16 RW 03 Dusun Sobo Desa Ngerdani mengalami retak-retak,0,0,0,0,0,0
50,7316 102 2022 012 027 1,7316,27/12/22,TANAH LONGSOR,ENREKANG,SULAWESI SELATAN,Dokumentasi,Cuaca Ekstrem.,0,0,0,0,0,0
51,3601 101 2022 012 027 1,3601,27/12/22,BANJIR,PANDEGLANG,BANTEN,Dokumentasi,curah hujan yang berintentias tinggi yang meyebabkan air Sungai Cilemer meluap ke pemukiman masyarakat.,0,0,0,0,620,0
52,3604 101 2022 012 027 1,3604,27/12/22,BANJIR,SERANG,BANTEN,Dokumentasi,hujan deras dengan intensitas tinggi sehingga debit air di sungai ciujung mulai tinggi dan meluap,0,0,0,0,209,0
53,3374 102 2022 012 026 1,3374,26/12/22,TANAH LONGSOR,KOTA SEMARANG,JAWA TENGAH,Dokumentasi,Dipicu curah hujan deras yang berangsur lama mengakibatkan talud rumah Bpk. Supono & Bpk. Slamet mengalami longsor,0,0,1,0,0,0
54,7306 102 2022 012 026 1,7306,26/12/22,TANAH LONGSOR,GOWA,SULAWESI SELATAN,Dokumentasi, Intensitas Curah Hujan Tinggi,5,0,0,10,0,0
55,6305 105 2022 012 026 1,6305,26/12/22,PUTING BELIUNG,TAPIN,KALIMANTAN SELATAN,Dokumentasi, curah hujan yang cukup tinggi pada kemarin sore mengakibatkan angin kencang yang mengakibatkan atap rumah terangkat.,0,0,0,0,0,0
56,6206 107 2022 012 026 1,6206,26/12/22,KEBAKARAN HUTAN DAN LAHAN,SUKAMARA,KALIMANTAN TENGAH,Dokumentasi, masih dalam penyelidikan,0,0,0,0,0,0
57,6303 105 2022 012 026 1,6303,26/12/22,PUTING BELIUNG,BANJAR,KALIMANTAN SELATAN,Dokumentasi, hujan disertai angin kencang,0,0,0,0,0,0
58,3523 101 2022 012 026 1,3523,26/12/22,BANJIR,TUBAN,JAWA TIMUR,Dokumentasi," cuaca ekstrim, gelombang tinggi dan angin kencang",0,0,0,8,0,0
59,3604 105 2022 012 026 1,3604,26/12/22,PUTING BELIUNG,SERANG,BANTEN,Dokumentasi, Dipicu hujan disertai angin kencang,0,0,0,1,0,0
60,3324 105 2022 012 026 1,3324,26/12/22,PUTING BELIUNG,KENDAL,JAWA TENGAH,Dokumentasi,hujan deras yang disertai dengan angin kencang melanda Sebagian besar wilayah Kabupaten Kendal. Sehingga mengakibatkan pohon tumbang di beberapa lokasi dan kerusakan rumah.,0,0,0,33,0,0
61,7313 105 2022 012 026 1,7313,26/12/22,PUTING BELIUNG,WAJO,SULAWESI SELATAN,Dokumentasi,"Dipicu cuaca ekstrim yang terjadi pada hari Senin, 26 Desember 2022, Pkl. 02:00 WITA",0,0,0,39,0,0
62,7371 101 2022 012 026 1,7371,26/12/22,BANJIR,KOTA MAKASSAR,SULAWESI SELATAN,Dokumentasi, hujan dengan intensitas tinggi hingga sedang,0,0,0,0,434,0
63,3216 101 2022 012 025 1,3216,25/12/22,BANJIR,BEKASI,JAWA BARAT,Dokumentasi,Air laut dan cuaca buruk mengakibat kan banjir Rob,0,0,0,0,362,0
64,5303 101 2022 012 025 1,5303,25/12/22,BANJIR,KUPANG,NUSA TENGGARA TIMUR,Dokumentasi,Dipicu akibat hujan lebat,1,0,0,68,619,8
65,6305 105 2022 012 025 1,6305,25/12/22,PUTING BELIUNG,TAPIN,KALIMANTAN SELATAN,Dokumentasi,Kejadian angin puting beliung yang mengakibatkan pohon tumbang.,0,0,0,1,0,1
66,3201 102 2022 012 025 1,3201,25/12/22,TANAH LONGSOR,BOGOR,JAWA BARAT,Dokumentasi,Dipicu curah hujan dengan intensitas tinggi yang berangsur cukup lama mengakibatkan terjadinya pergerakan tanah,0,0,0,5,0,1
67,3215 101 2022 012 025 1,3215,25/12/22,BANJIR,KARAWANG,JAWA BARAT,Dokumentasi,Meluapnya sungai Cibeet dan Citarum,0,0,0,0,1699,0
68,5303 101 2022 012 025 1,5303,25/12/22,BANJIR,KUPANG,NUSA TENGGARA TIMUR,Dokumentasi,"Dipicu hujan dengan intensitas tinggi pada hari Minggu, 25 Desember 2022, Pkl. 06.00 WITA",0,0,0,14,527,3
69,5307 101 2022 012 025 1,5307,25/12/22,BANJIR,ALOR,NUSA TENGGARA TIMUR,Dokumentasi,Sebanyak 108 rumah warga terdampak akibat gelombang pasang yang menyebabkan banjir rob melanda dua kecamatan di Kabupaten Alor,0,0,0,44,108,2
70,5311 101 2022 012 025 1,5311,25/12/22,BANJIR,ENDE,NUSA TENGGARA TIMUR,Dokumentasi,"Dipicu gelombang pasang pada hari Minggu, 25 Desember 2022, Pkl. 23:00 WITA sehingga mengakibatkan banjir ROB yang melanda pemukiman warga sepanjang pinggir pantai",0,0,0,0,17,0
71,7401 104 2022 012 024 1,7401,24/12/22,GELOMBANG PASANG / ABRASI,BUTON,SULAWESI TENGGARA,Dokumentasi,cuaca ekstrim terjadi bencana gelombang tinggi disertai angin kencang,0,0,0,40,0,0
