No,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
4540,5206 102 2021 011 29 1,5206,29/11/21,TANAH LONGSOR,BIMA,NUSA TENGGARA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4541,3302 102 2021 011 29 1,3302,29/11/21,TANAH LONGSOR,BANYUMAS,JAWA TENGAH,Dokumentasi,Dipicu curah hujan dengan intensitas tinggi,0,0,0,0,0,0
4542,5108 102 2021 011 29 1,5108,29/11/21,TANAH LONGSOR,BULELENG,BALI,Dokumentasi,Belum Diketahui,0,0,0,2,0,0
4543,7316 101 2021 011 29 1,7316,29/11/21,BANJIR,ENREKANG,SULAWESI SELATAN,Dokumentasi, Dipicu Hujan dengan intensitas tinggi Menyebabkan air   sungai Saddang dan sungai Mata   Allo meluap,0,0,0,0,900,0
4544,7408 101 2021 011 29 1,7408,29/11/21,BANJIR,KOLAKA UTARA,SULAWESI TENGGARA,Dokumentasi,Belum Diketahui,0,0,0,1,40,0
4545,6302 102 2021 011 29 1,6302,29/11/21,TANAH LONGSOR,KOTABARU,KALIMANTAN SELATAN,Dokumentasi,Dipicu hujan dengan intensitas tinggi dan kondisi tanah yang labil,4,0,0,20,0,0
4546,3602 102 2021 011 29 1,3602,29/11/21,TANAH LONGSOR,LEBAK,BANTEN,Dokumentasi,Dipicu oleh kondisi tanah yang labil,0,0,0,2,0,0
4547,3202 102 2021 011 29 1,3202,29/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4548,3210 102 2021 011 29 1,3210,29/11/21,TANAH LONGSOR,MAJALENGKA,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4549,3604 105 2021 011 28 1,3604,28/11/21,PUTING BELIUNG,SERANG,BANTEN,Dokumentasi, Dipicu Hujan dengan intensitas tinggi disertai angin kencang,0,0,0,1,0,0
4550,3211 101 2021 011 28 1,3211,28/11/21,BANJIR,SUMEDANG,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,0,1,0
4551,3217 102 2021 011 28 1,3217,28/11/21,TANAH LONGSOR,BANDUNG BARAT,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,0,0,1
4552,3202 102 2021 011 28 1,3202,28/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,2,0,0
4553,7322 101 2021 011 28 1,7322,28/11/21,BANJIR,LUWU UTARA,SULAWESI SELATAN,Dokumentasi, Dipicu Hujan dengan intensitas tinggi,0,0,0,0,317,0
4554,7316 102 2021 011 28 1,7316,28/11/21,TANAH LONGSOR,ENREKANG,SULAWESI SELATAN,Dokumentasi, Dipicu oleh Hujan dengan intensitas tinggi dalam durasi yang cukup lama,0,0,0,1,0,1
4555,3202 102 2021 011 28 1,3202,28/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,1,0,0
4556,3201 102 2021 011 28 1,3201,28/11/21,TANAH LONGSOR,BOGOR,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,1,0,0
4557,3579 102 2021 011 28 1,3579,28/11/21,TANAH LONGSOR,KOTA BATU,JAWA TIMUR,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,0,0,0
4558,3202 102 2021 011 28 1,3202,28/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,2,0,0
4559,7205 101 2021 011 28 1,7205,28/11/21,BANJIR,DONGGALA,SULAWESI TENGAH,Dokumentasi,Belum Diketahui,0,0,0,0,7,0
4560,3512 102 2021 011 28 1,3512,28/11/21,TANAH LONGSOR,SITUBONDO,JAWA TIMUR,Dokumentasi, Dipicu oleh Hujan dengan intensitas tinggi disertai angin kencang dan kondisi tanah yang labil,0,0,0,1,0,0
4561,3202 102 2021 011 28 1,3202,28/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,0,0,0
4562,7605 101 2021 011 28 1,7605,28/11/21,BANJIR,PASANGKAYU,SULAWESI BARAT,Dokumentasi,Belum Diketahui,0,0,0,0,0,0
4563,7205 101 2021 011 28 1,7205,28/11/21,BANJIR,DONGGALA,SULAWESI TENGAH,Dokumentasi,Belum Diketahui,0,0,0,0,35,0
4564,3202 102 2021 011 28 1,3202,28/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,2,0,0
4565,6502 102 2021 011 28 1,6502,28/11/21,TANAH LONGSOR,BULUNGAN,KALIMANTAN UTARA,Dokumentasi,Belum Diketahui,0,0,0,2,0,0
4566,3318 101 2021 011 28 1,3318,28/11/21,BANJIR,PATI,JAWA TENGAH,Dokumentasi,Belum Diketahui,0,0,0,0,42,0
4567,6401 101 2021 011 28 1,6401,28/11/21,BANJIR,PASER,KALIMANTAN TIMUR,Dokumentasi,Belum Diketahui,0,0,0,0,40,0
4568,3202 102 2021 011 28 1,3202,28/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,1,0,0
4569,5308 101 2021 011 28 1,5308,28/11/21,BANJIR,LEMBATA,NUSA TENGGARA TIMUR,Dokumentasi,Belum Diketahui,0,0,0,0,0,0
4570,7605 101 2021 011 28 1,7605,28/11/21,BANJIR,PASANGKAYU,SULAWESI BARAT,Dokumentasi,Belum Diketahui,0,0,0,0,0,0
4571,5272 101 2020 011 28 1,5272,28/11/21,BANJIR,KOTA BIMA,NUSA TENGGARA BARAT,Dokumentasi,Belum Diketahui,0,0,1,0,0,0
4572,3201 105 2021 011 28 1,3201,28/11/21,PUTING BELIUNG,BOGOR,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi disertai angin kencang,0,0,0,2,0,0
4573,1505 105 2021 011 28 1,1505,28/11/21,PUTING BELIUNG,MUARO JAMBI,JAMBI,Dokumentasi,Belum Diketahui,0,0,3,6,0,0
4574,3528 105 2021 011 28 1,3528,28/11/21,PUTING BELIUNG,PAMEKASAN,JAWA TIMUR,Dokumentasi, Dipicu Hujan dengan intensitas tinggi disertai angin kencang,0,0,0,12,0,0
4575,6471 102 2021 011 28 1,6471,28/11/21,TANAH LONGSOR,KOTA BALIKPAPAN,KALIMANTAN TIMUR,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4576,3202 102 2021 011 28 1,3202,28/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4577,7204 101 2021 011 28 1,7204,28/11/21,BANJIR,POSO,SULAWESI TENGAH,Dokumentasi,Belum Diketahui,0,0,0,0,170,0
4578,3271 102 2021 011 28 1,3271,28/11/21,TANAH LONGSOR,KOTA BOGOR,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4579,7204 105 2021 011 28 1,7204,28/11/21,PUTING BELIUNG,POSO,SULAWESI TENGAH,Dokumentasi,Belum Diketahui,0,0,0,3,0,0
4580,3604 101 2021 011 28 1,3604,28/11/21,BANJIR,SERANG,BANTEN,Dokumentasi, Dipicu Hujan dengan intensitas tinggi disertai angin kencang,0,0,0,1,330,0
4581,3202 102 2021 011 28 1,3202,28/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,0,0,0
4582,3505 102 2021 011 28 1,3505,28/11/21,TANAH LONGSOR,BLITAR,JAWA TIMUR,Dokumentasi,Dipicu hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,1,0,0
4583,3202 102 2021 011 28 1,3202,28/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4584,3673 101 2021 011 28 1,3673,28/11/21,BANJIR,KOTA SERANG,BANTEN,Dokumentasi, Dipicu Hujan dengan intensitas tinggi,0,0,0,0,11,0
4585,7204 101 2021 011 28 1,7204,28/11/21,BANJIR,POSO,SULAWESI TENGAH,Dokumentasi,Belum Diketahui,0,0,0,0,10,0
4586,3202 102 2021 011 28 1,3202,28/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,3,0,0
4587,3215 105 2021 011 28 1,3215,28/11/21,PUTING BELIUNG,KARAWANG,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4588,3272 105 2021 011 27 1,3272,27/11/21,PUTING BELIUNG,KOTA SUKABUMI,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4589,3323 102 2021 011 26 1,3323,27/11/21,TANAH LONGSOR,TEMANGGUNG,JAWA TENGAH,Dokumentasi,Dipicu hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,3,0,0
4590,3202 101 2021 011 27 1,3202,27/11/21,BANJIR,SUKABUMI,JAWA BARAT,Dokumentasi,Dipicu hujan dengan intensitas tinggi,0,0,0,0,40,4
4591,3211 105 2021 011 27 1,3211,27/11/21,PUTING BELIUNG,SUMEDANG,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,7,0,0
4592,3202 102 2021 011 27 1,3202,27/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4593,1306 105 2021 011 27 1,1306,27/11/21,PUTING BELIUNG,PADANG PARIAMAN,SUMATERA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4594,3315 105 2021 011 27 1,3315,27/11/21,PUTING BELIUNG,GROBOGAN,JAWA TENGAH,Dokumentasi,Dipicu hujan dengan intensitas tinggi disertai angin kencang,0,0,0,2,0,0
4595,5201 102 2021 011 27 1,5201,27/11/21,TANAH LONGSOR,LOMBOK BARAT,NUSA TENGGARA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4596,5272 101 2021 011 27 1,5272,27/11/21,BANJIR,KOTA BIMA,NUSA TENGGARA BARAT,Dokumentasi,Dipicu hujan dengan intensitas tinggi mengakibatkan meluapnya sungai kendo,0,0,0,0,0,0
4597,3215 101 2021 011 27 1,3215,27/11/21,BANJIR,KARAWANG,JAWA BARAT,Dokumentasi,Dipicu hujan dengan intensitas tinggi menyebabkan Meluapnya aliran sungai Langgen  ke Kp.Langgenjati Desa. Langgensari diperkirakan ketinggian air dihalaman dan rumah warga 30-40cm,0,0,0,0,11,0
4598,3509 102 2021 011 27 1,3509,27/11/21,TANAH LONGSOR,JEMBER,JAWA TIMUR,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,0,0,0
4599,3514 105 2021 011 27 1,3514,27/11/21,PUTING BELIUNG,PASURUAN,JAWA TIMUR,Dokumentasi,Dipicu hujan dengan intensitas tinggi disertai angin kencang,0,0,0,11,0,1
4600,6308 101 2021 011 27 1,6308,27/11/21,BANJIR,HULU SUNGAI UTARA,KALIMANTAN SELATAN,Dokumentasi, Dipicu hujan dengan intensitas tinggi serta merupakan pertemuan dari Daerah Aliran Sungai Tabalong dan Daerah Aliran Sungai Balangan sehingga menyebabkan Sungai Nagara Meluap,0,0,0,0,182,0
4601,3202 105 2021 011 27 1,3202,27/11/21,PUTING BELIUNG,SUKABUMI,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,0,0,1
4602,3515 105 2021 011 27 1,3515,27/11/21,PUTING BELIUNG,SIDOARJO,JAWA TIMUR,Dokumentasi,Dipicu hujan dengan intensitas tinggi disertai angin kencang,0,0,0,15,0,0
4603,3202 102 2021 011 27 1,3202,27/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4604,6307 101 2021 011 27 1,6307,27/11/21,BANJIR,HULU SUNGAI TENGAH,KALIMANTAN SELATAN,Dokumentasi,Dipicu hujan dengan intensitas tinggi,0,0,0,2,6481,0
4605,3519 105 2021 011 27 1,3519,27/11/21,PUTING BELIUNG,MADIUN,JAWA TIMUR,Dokumentasi,Dipicu hujan dengan intensitas tinggi disertai angin kencang,0,0,0,1,0,0
4606,3202 101 2021 011 27 1,3202,27/11/21,BANJIR,SUKABUMI,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,0,0,0
4607,3202 102 2021 011 27 1,3202,27/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,1,0,0
4608,3201 102 2021 011 27 1,3201,27/11/21,TANAH LONGSOR,BOGOR,JAWA BARAT,Dokumentasi, Dipicu oleh curah Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,1,0,0
4609,3215 105 2021 011 27 1,3215,27/11/21,PUTING BELIUNG,KARAWANG,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4610,3211 101 2021 011 27 1,3211,27/11/21,BANJIR,SUMEDANG,JAWA BARAT,Dokumentasi,Dipicu hujan dengan intensitas tinggi,0,0,0,0,380,0
4611,3204 101 2021 011 27 1,3204,27/11/21,BANJIR,BANDUNG,JAWA BARAT,Dokumentasi,Dipicu hujan deras sejak pkl. 13:00 WIB,0,0,0,0,10000,0
4612,5108 102 2021 011 27 1,5108,27/11/21,TANAH LONGSOR,BULELENG,BALI,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4613,3202 102 2021 011 27 1,3202,27/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,0,0,0
4614,3202 102 2021 011 27 1,3202,27/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,2,0,0
4615,3202 102 2021 011 27 1,3202,27/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,1,0,0
4616,1501 105 2021 011 27 1,1501,27/11/21,PUTING BELIUNG,KERINCI,JAMBI,Dokumentasi,Belum Diketahui,0,0,0,3,0,0
4617,3519 102 2021 011 27 1,3519,27/11/21,TANAH LONGSOR,MADIUN,JAWA TIMUR,Dokumentasi,Dipicu hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,0,0,0
4618,1174 105 2021 011 27 1,1174,27/11/21,PUTING BELIUNG,KOTA LHOKSEUMAWE,ACEH,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4619,3202 101 2021 011 27 1,3202,27/11/21,BANJIR,SUKABUMI,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,0,30,0
4620,3217 102 2021 011 27 1,3217,27/11/21,TANAH LONGSOR,BANDUNG BARAT,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4621,3204 102 2021 011 27 1,3204,27/11/21,TANAH LONGSOR,BANDUNG,JAWA BARAT,Dokumentasi,Dipicu hujan deras sejak pkl. 13:00 WIB,1,0,3,1,0,0
4622,3324 101 2021 011 27 1,3324,27/11/21,BANJIR,KENDAL,JAWA TENGAH,Dokumentasi,dipicu oleh curah hujan yang cukup tinggi dengan durasi yang cukup lama,0,0,0,0,122,0
4623,3212 101 2021 011 27 1,3212,27/11/21,BANJIR,INDRAMAYU,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,0,10,0
4624,3218 105 2021 011 27 1,3218,27/11/21,PUTING BELIUNG,PANGANDARAN,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,5,0,0
4625,3210 102 2021 011 27 1,3210,27/11/21,TANAH LONGSOR,MAJALENGKA,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4626,3316 101 2021 011 27 1,3316,27/11/21,BANJIR,BLORA,JAWA TENGAH,Dokumentasi,Dipicu hujan dengan intensitas tinggi,0,0,0,0,377,0
4627,3204 101 2021 011 27 1,3204,27/11/21,BANJIR,BANDUNG,JAWA BARAT,Dokumentasi,Dipicu hujan deras sejak pkl. 13:00 WIB,0,0,0,0,7,0
4628,3202 102 2021 011 27 1,3202,27/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,1,0,0
4629,3215 101 2021 011 27 1,3215,27/11/21,BANJIR,KARAWANG,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,0,10,0
4630,3514 101 2021 011 27 1,3514,27/11/21,BANJIR,PASURUAN,JAWA TIMUR,Dokumentasi,Dipicu hujan dengan intensitas tinggi,0,0,0,0,0,0
4631,3205 101 2021 011 27 1,3205,27/11/21,BANJIR,GARUT,JAWA BARAT,Dokumentasi,Dipicu hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,66,246,10
4632,3217 101 2021 011 26 1,3217,26/11/21,BANJIR,BANDUNG BARAT,JAWA BARAT,Dokumentasi, hujan deras dengan intensitas tinggi sehingga air meluap ke seagaian rumah warga,0,0,0,0,28,0
4633,3319 105 2021 011 26 1,3319,26/11/21,PUTING BELIUNG,KUDUS,JAWA TENGAH,Dokumentasi,Dipicu Hujan dengan intensitas lebat,0,0,0,2,0,0
4634,3214 102 2021 011 26 1,3214,26/11/21,TANAH LONGSOR,PURWAKARTA,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4635,3202 102 2021 011 26 1,3202,26/11/21,TANAH LONGSOR,SUKABUMI,JAWA BARAT,Dokumentasi,Dipicu Hujan deras,0,0,0,3,0,0
4636,3214 102 2021 011 26 1,3214,26/11/21,TANAH LONGSOR,PURWAKARTA,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,2,0,0
4637,3215 105 2021 011 26 1,3215,26/11/21,PUTING BELIUNG,KARAWANG,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4638,1274 101 2021 011 26 1,1274,26/11/21,BANJIR,KOTA TEBING TINGGI,SUMATERA UTARA,Dokumentasi,Belum Diketahui,0,0,0,0,1063,0
4639,1219 101 2021 011 26 1,1219,26/11/21,BANJIR,BATU BARA,SUMATERA UTARA,Dokumentasi,"Dipicu Air kiriman dari kab. Simalungun berdampak banjir di wilayah desa gambus laut, kec. Lima puluh pesisir, kabupaten batu bara dengan ketinggian air antara rata-rata 20-50cm",0,0,0,0,289,0
4640,6309 101 2021 011 26 1,6309,26/11/21,BANJIR,TABALONG,KALIMANTAN SELATAN,Dokumentasi,Belum Diketahui,0,0,0,0,40,0
4641,3217 101 2021 011 26 1,3217,26/11/21,BANJIR,BANDUNG BARAT,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,0,1,0
4642,3275 105 2021 011 26 1,3275,26/11/21,PUTING BELIUNG,KOTA BEKASI,JAWA BARAT,Dokumentasi,Dipicu Hujan deras dan Angin kencang,0,0,0,1,0,0
4643,3523 105 2021 011 26 1,3523,26/11/21,PUTING BELIUNG,TUBAN,JAWA TIMUR,Dokumentasi,Dipicu Hujan dengan intensitas lebat,0,0,0,31,0,2
4644,3213 105 2021 011 26 1,3213,26/11/21,PUTING BELIUNG,SUBANG,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,1,1,0,0
4645,3217 105 2021 011 26 1,3217,26/11/21,PUTING BELIUNG,BANDUNG BARAT,JAWA BARAT,Dokumentasi, Hujan lebat Disertai Angin kencang,0,0,0,1,0,0
4646,1208 101 2021 011 26 1,1208,26/11/21,BANJIR,ASAHAN,SUMATERA UTARA,Dokumentasi,Dipicu hujan dengan intensitas tinggi disertai angin kencang dan kondisi tanah yang labil,0,0,0,0,3572,13
4647,5305 105 2021 011 26 1,5305,26/11/21,PUTING BELIUNG,TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4648,3374 105 2021 011 26 1,3374,26/11/21,PUTING BELIUNG,KOTA SEMARANG,JAWA TENGAH,Dokumentasi, Dipicu hujan dengan intensitas tinggi disertai angin kencang,0,0,0,2,0,0
4649,3274 105 2021 011 26 1,3274,26/11/21,PUTING BELIUNG,KOTA CIREBON,JAWA BARAT,Dokumentasi, Hujan deras dan Angin kencang,0,0,1,1,0,0
4650,3211 102 2021 011 26 1,3211,26/11/21,TANAH LONGSOR,SUMEDANG,JAWA BARAT,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,0,0,0
4651,3579 102 2021 011 26 1,3579,26/11/21,TANAH LONGSOR,KOTA BATU,JAWA TIMUR,Dokumentasi,Dipicu hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,1,0,0
4652,5106 101 2021 011 26 1,5106,26/11/21,BANJIR,BANGLI,BALI,Dokumentasi," hujan dengan intensitas sedang hingga lebat yang mengguyur wilayah Kintamani & sekitarnya mengakibatkan Terjadinya banjir bandang berupa air pekat bercampur batu kerikil,pasir dari Bukit Abang yang menerjang  wilayah Dusun Dukuh,Desa Abang Batudinding,Kecamatan  Kintamani",0,0,0,1,0,0
4653,7322 101 2021 011 26 1,7322,26/11/21,BANJIR,LUWU UTARA,SULAWESI SELATAN,Dokumentasi," Dipicu akibat hujan dengan intensitas lebat dan terjadi naiknya debit air Sungai Masamba, Sungai Radda, dan Sungai Baliase dan jebolnya tanggul di Desa Mario",0,0,0,0,198,0
4654,5103 102 2021 011 26 1,5103,26/11/21,TANAH LONGSOR,BADUNG,BALI,Dokumentasi, Dipicu Hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,2,0,0
4655,7408 101 2021 011 26 1,7408,26/11/21,BANJIR,KOLAKA UTARA,SULAWESI TENGGARA,Dokumentasi,Belum Diketahui,0,0,0,0,107,0
4656,1104 101 2021 011 26 1,1104,26/11/21,BANJIR,ACEH TENGGARA,ACEH,Dokumentasi,Dipicu  intensitas hujan yg tinggi menyebabkan debit sungai kali Bulan naik sehingga parit di pinggiran desa tidak mampu menampung debit air lalu meluap ke beberapa rmh warga setinggi +_15 cm,0,0,0,0,7,0
4657,5271 104 2021 011 25 1,5271,26/11/21,GELOMBANG PASANG / ABRASI,KOTA MATARAM,NUSA TENGGARA BARAT,Dokumentasi, Cuaca di Kota Mataram berawan disertai hembusan angin dengan kecepatan 30 km/jam yang mengakibatkan gelombang pasang yang merendam pemukiman penduduk disepanjang pesisir pantai di Kelurahan Bintaro dan Ampenan Tengah.,0,0,0,0,0,0
4658,5204 102 2021 011 26 1,5204,26/11/21,TANAH LONGSOR,SUMBAWA,NUSA TENGGARA BARAT,Dokumentasi, akibat hujan deras,0,0,0,0,0,0
4659,3215 105 2021 011 26 1,3215,26/11/21,PUTING BELIUNG,KARAWANG,JAWA BARAT,Dokumentasi,Dipicu Hujan deras dan Angin kencang,0,0,0,19,0,0
4660,3204 102 2021 011 26 1,3204,26/11/21,TANAH LONGSOR,BANDUNG,JAWA BARAT,Dokumentasi,Belum Diketahui,0,0,0,2,0,0
4661,3525 101 2021 011 26 1,3525,26/11/21,BANJIR,GRESIK,JAWA TIMUR,Dokumentasi, Hujan dengan intensitas lebat sehingga Tinggi Muka Air Kali Lamong meluap,0,0,0,0,0,0
4662,6311 101 2021 011 26 1,6311,26/11/21,BANJIR,BALANGAN,KALIMANTAN SELATAN,Dokumentasi, Dikarenakan curah yang tinggi di daerah pegunungan sehingga membuat meluapnya sungai yang ada di daerah kecamatan paringin,0,0,0,0,101,0
4663,3204 101 2021 011 25 1,3204,25/11/21,BANJIR,BANDUNG,JAWA BARAT,Dokumentasi,Dipicu hujan dengan intensitas tinggi mengakibatkan meluapnya sungai Cikeruh,0,0,0,3,2851,0
4664,1410 101 2021 011 25 1,1410,25/11/21,BANJIR,KEPULAUAN MERANTI,RIAU,Dokumentasi,Belum Diketahui,0,0,0,0,0,0
4665,1276 101 2021 011 25 1,1276,25/11/21,BANJIR,KOTA BINJAI,SUMATERA UTARA,Dokumentasi," Dipicu akibat hujan dengan intensitas lebat pada kamis malam dan menyebabkan meluapnya Sungai Bingai, Sungai Bangkatan, dan DAS Kota Binjai",0,0,0,0,605,0
4666,6310 105 2021 011 25 1,6310,25/11/21,PUTING BELIUNG,TANAH BUMBU,KALIMANTAN SELATAN,Dokumentasi, Dipicu akibat angin kencang yang terjadi di wilayah Kabupaten Tanah Bumbu dan terjadi Angin Puting Beliung dan merusak rumah warga dan fasilitas umum dan sosial,0,0,0,24,0,0
4667,5205 101 2021 011 25 1,5205,25/11/21,BANJIR,DOMPU,NUSA TENGGARA BARAT,Dokumentasi, Dipicu akibat hujan dengan intensitas lebat dan disertai angin kencang yang terjadi di wilayah Kab. Dompu,0,0,0,2,0,3
4668,6472 102 2021 011 25 1,6472,25/11/21,TANAH LONGSOR,KOTA SAMARINDA,KALIMANTAN TIMUR,Dokumentasi,Belum Diketahui,0,0,0,1,0,0
4669,3579 105 2021 011 25 1,3579,25/11/21,PUTING BELIUNG,KOTA BATU,JAWA TIMUR,Dokumentasi, Dipicu akibat cuaca ekstrim yang terjadi di wilayah Kota Batu terjadi hujan dengan intensitas lebat dan angin kencang dan berdampak tanah longsor dan pohon tumbang,0,0,0,1,0,0
4670,3324 105 2021 011 25 1,3324,25/11/21,PUTING BELIUNG,KENDAL,JAWA TENGAH,Dokumentasi,Dipicu hujan dengan intensitas lebat disertai angin kencang mengguyur wilayah Kabupaten Kendal,0,0,0,1,0,0
4671,1218 101 2021 011 25 1,1218,25/11/21,BANJIR,SERDANG BEDAGAI,SUMATERA UTARA,Dokumentasi, Akibat curah hujan yg tinggi,0,0,0,0,155,0
4672,1104 101 2021 011 25 1,1104,25/11/21,BANJIR,ACEH TENGGARA,ACEH,Dokumentasi,Belum Diketahui,0,0,0,0,5,0
4673,5207 105 2021 011 25 1,5207,25/11/21,PUTING BELIUNG,SUMBAWA BARAT,NUSA TENGGARA BARAT,Dokumentasi, Cuaca Extreme,0,0,0,2,0,0
4674,5104 102 2021 011 25 1,5104,25/11/21,TANAH LONGSOR,GIANYAR,BALI,Dokumentasi,"Dipicu Hujan deras terjadi Longsor di Tepi Jurang dan menimpa Rombongan Korban yang semula berencana Rafting di sungai Ayung Payangan, tinggi tepian sungai yang mengalami longsor 100 Meter pada Kamis, 25 November 2021, Pkl 14.00 WIB",3,0,3,0,0,0
4675,3315 101 2021 011 25 1,3315,25/11/21,BANJIR,GROBOGAN,JAWA TENGAH,Dokumentasi,Dipicu hujan dengan intensitas tinggi dan kondisi tanah yang labil,0,0,0,0,15,0
4676,1208 102 2021 011 25 1,1208,25/11/21,TANAH LONGSOR,ASAHAN,SUMATERA UTARA,Dokumentasi,Belum Diketahui,0,0,0,0,0,2
4677,3318 101 2021 011 25 1,3318,25/11/21,BANJIR,PATI,JAWA TENGAH,Dokumentasi, Dipicu hujan dengan intensitas tinggi di wilayah Kabupaten Pati dan meluapnya Sungai Sentul akibat rusaknya pintu intake jebol.,0,0,0,0,540,0
4678,6305 107 2021 011 25 1,6305,25/11/21,KEBAKARAN HUTAN DAN LAHAN,TAPIN,KALIMANTAN SELATAN,Dokumentasi,Belum Diketahui,0,0,0,0,0,0
