,Tahun,Provinsi,Sampahmasuk (kg/thn),Sampahterkelola (kg/thn),Bahan baku Pakan Ternak,Bahan baku Kompos,Bahan baku Daur Ulang,Bahan baku Up-cycle
63,2022,Jawa Tengah,12067800847.43,49766791.28,4620880.22,4845694.88,33787341.22,6512874.96
64,2022,Jawa Timur,39552892.85,17243372.86,27537.6,698321.3099999999,16197119.67,320394.24
65,2022,Kalimantan Barat,388657.44,384495.84,9600.0,45288.0,327138.24,2469.6
66,2022,Kalimantan Selatan,5951449.04,1750328.4,3960.0,27492.0,1683301.2,35575.2
67,2022,Kalimantan Tengah,649808.16,551312.16,144180.0,2820.0,397124.16000000003,7188.0
68,2022,Kalimantan Timur,30667228.1,25805824.43,191512.99,216726.7,24867890.93,529693.8
69,2022,Kalimantan Utara,204144.0,180120.0,0.0,0.0,180120.0,0.0
70,2022,Kepulauan Bangka Belitung,167515.72,158473.37,0.0,0.0,151254.14,7219.23
71,2022,Kepulauan Riau,9604977.83,2246769.02,43734.0,27450.24,2164913.18,10671.6
72,2022,Lampung,1914453.72,1259103.0,99044.4,347630.16000000003,755692.4400000001,56736.0
73,2022,Maluku,48000.0,48000.0,0.0,0.0,48000.0,0.0
74,2022,Maluku Utara,3540.0,3540.0,0.0,0.0,3540.0,0.0
75,2022,Nusa Tenggara Barat,9957033.24,5920099.04,85565.52,99788.73999999999,5727470.640000001,7274.12
76,2022,Nusa Tenggara Timur,203880.0,201468.0,0.0,0.0,201468.0,0.0
77,2022,Papua,94248.0,93048.0,0.0,480.0,88488.0,4080.0
78,2022,Papua Barat Daya,31203.0,31198.8,0.0,0.0,31198.8,0.0
79,2022,Papua Selatan,74496.0,68126.4,0.0,720.0,67406.4,0.0
80,2022,Riau,7248934.38,5792123.9,25446.0,389643.84,4568437.58,808596.48
81,2022,Sulawesi Barat,7657.4400000000005,7146.8,0.0,0.0,7146.8,0.0
82,2022,Sulawesi Selatan,4809057.6,3586107.38,1200.0,125467.2,3386184.5,73255.66
83,2022,Sulawesi Tengah,10871346.56,70777.84,0.0,2983.16,65376.32,2418.36
84,2022,Sulawesi Tenggara,131789.06,63177.31,0.0,0.0,63177.31,0.0
85,2022,Sulawesi Utara,19570620.0,1375296.0,121236.0,223140.0,762288.0,268632.0
86,2022,Sumatera Barat,5132211.19,4842900.72,21872.04,139481.64,4577249.1,104297.94
87,2022,Sumatera Selatan,16873514.759999998,6595913.7,212772.0,156893.36,6148138.46,78109.86
88,2022,Sumatera Utara,2685405.5,554143.39,8376.0,42612.0,494985.79,8169.6
89,2022,Yogyakarta,14665455.620000001,2271675.83,2184.68,10703.92,2245187.2399999998,13599.99
