,objectid,uid,creator,created,updater,updated,nm_balai,koord_x,koord_y,foto,data_src,last_sync,sync_notes,tgl_inspeksi,kd_prov,provinsi,kab_kota,kecamatan,kel_desa,kd_kem,kd_unor,ko_in,video,peta,kondisi,kl_dat_das,nm_dat_das,nm_obj_inf,thn_data,nm_ws,nm_das,id_sumur,kd_seri,jenis,debit,dbt_bsh_1,dbt_kering,dbt_bsh_2,kd_ws,infrastruktur,status2,sta_hibah,urut,id,kode_balai,kd_das,tahun_pembangunan,kondisi_bangunan,status_pekerjaan,sungai,cat,nama_sistem,elevasi,sistem_pengambilan,jenis_pompa,head_pompa,tahun_rehab_terakhir,kelembagaan,keterangan,panjang,jumlah_box_bagi,jumlah_springkel,musim_tanam_mt_1,musim_tanam_mt_2,musim_tanam_mt_3,shape,geometry
631,246905,c9367aa4-3055-470d-a6af-82151e4d0834,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,124.72922,1.35265,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Tombariri Timur,Lolah Satu,,,,,,,Mata Air,Mata Air Lolah,,,POIGAR-RANOYAPO,,,,,,,,,05.B.02,,,,632,06.20.28250000644,B_SUL1,05.B.02.000,2011,Beroperasi,Selesai,Mata Air Lolah,CAT TOMOHON-TUMPAAN,,352,Gravitasi,,0,,,,0,0,0,,,,,POINT (124.72922000000005 1.3526500000000397)
632,246906,400b27eb-f42f-4253-9de5-1a4f9a8c0fe8,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Tombariri,Tidak Diketahui,,,,,,,,Reservoar,,,,,,,,,,,,0.XX.00,,,,633,06.20.28250000645,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
633,246907,61301742-e7c6-46f5-b9a9-e05b4cc3dc1e,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,124.87724,1.27756,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Tondano Selatan,Tataaran Patar,,,,,,,Mata Air,Mata Air Tonsaru,,,TONDANO-SANGIHE-TALAUD-MIANGAS,TONDANO,,,,,,,,05.A3.01,,,,634,06.20.28250000646,B_SUL1,05.A3.01.061,2011,Beroperasi,Selesai,Mata Air Tonsaru,CAT MANADO,,701,Pompa,Submersible,80,,,,0,0,0,,,,,POINT (124.87724000000003 1.2775600000000509)
634,246908,21d4456e-265d-4798-8ad3-55c10abef17c,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Tondano Selatan,Tidak Diketahui,,,,,,,,Reservoar,,,,,,,,,,,,0.XX.00,,,,635,06.20.28250000647,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Pompa,Submersible,80,,,,0,0,0,,,,,
635,246909,0ade69b9-9461-4d9f-9b1d-149e692bae3b,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,124.19309,0.94881,,,,,,,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Bolaang Timur,Lolan,,,,,,,Mata Air,Mata Air Lolan,,,DUMOGA-SANGKUB,LETUNG,,,,,,,,05.A2.03,,,,636,06.20.28250000648,B_SUL1,05.A2.03.019,2011,Beroperasi,Selesai,Mata Air Lolan,CAT PUTUSSIBAU,,49,Gravitasi,,0,,,,0,0,0,,,,,POINT (124.1930900000001 0.9488100000000372)
636,246910,f3f24c1c-1871-4afc-9b99-024053c7ec39,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Bolaang Timur,Lolan,,,,,,,,Reservoar,,,,,,,,,,,,0.XX.00,,,,637,06.20.28250000649,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
637,246911,1a6b4f63-9930-492e-9da4-8e516bfe2f33,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Bolaang Timur,Lolan,,,,,,,,Tandon,,,,,,,,,,,,0.XX.00,,,,638,06.20.28250000650,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
638,246912,bce10dc5-5b80-49fb-8549-b792a3c98dbc,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,124.92336,1.21341,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Eris,Eris,,,,,,,Mata Air,Mata Air Eris,,,TONDANO-SANGIHE-TALAUD-MIANGAS,TONDANO,,,,,,,,05.A3.01,,,,639,06.20.28250000651,B_SUL1,05.A3.01.061,2011,Beroperasi,Selesai,Mata Air Eris,CAT MANADO,,872,Gravitasi,,0,,,,0,0,0,,,,,POINT (124.92336000000012 1.2134100000000672)
639,246913,7751c54c-15f0-4211-8ae0-db81374bd73d,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Eris,Eris,,,,,,,,Reservoar,,,,,,,,,,,,0.XX.00,,,,640,06.20.28250000652,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
640,246914,87fd2516-906b-4558-84d3-e8455ef58b91,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Eris,Maumbi,,,,,,,,Mata Air Maumbi,,,,,,,,,,,,0.XX.00,,,,641,06.20.28250000653,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,Mata Air Maumbi,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
