,Provinsi,Tahun,Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%)
112,Sulawesi Barat,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Sulawesi Barat,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Sulawesi Selatan,2019,61108.0,20240.0,17056.0,16265.0,4197.0,2301.0,1948.0,2500.0,4375.0
115,Sulawesi Selatan,2020,53194.0,18052.0,14412.0,15814.0,3468.0,2604.0,1983.0,2315.0,3854.0
116,Sulawesi Selatan,2021,58977.0,17352.0,17621.0,17035.0,5610.0,2341.0,2998.0,2366.0,5700.0
117,Sulawesi Selatan,2022,66178.0,19269.0,21596.0,20469.0,6704.0,2620.0,3655.0,2478.0,7031.0
118,Sulawesi Tengah,2019,9481.0,4312.0,7498.0,3975.0,880.0,475.0,466.0,465.0,2448.0
119,Sulawesi Tengah,2020,10596.0,1077.0,2944.0,2343.0,790.0,406.0,368.0,359.0,1115.0
120,Sulawesi Tengah,2021,3500.0,1000.0,2000.0,1300.0,600.0,300.0,300.0,300.0,700.0
121,Sulawesi Tengah,2022,14116.0,2577.0,5294.0,4731.0,1700.0,856.0,760.0,579.0,2025.0
122,Sulawesi Tenggara,2019,8000.0,5800.0,1600.0,2500.0,700.0,300.0,300.0,300.0,500.0
123,Sulawesi Tenggara,2020,6000.0,500.0,1100.0,1400.0,500.0,100.0,100.0,200.0,100.0
124,Sulawesi Tenggara,2021,4365.0,1744.0,1678.0,1725.0,154.0,72.0,106.0,116.0,40.0
125,Sulawesi Tenggara,2022,22175.0,3990.0,4130.0,7234.0,1398.0,951.0,701.0,805.0,9696.0
126,Sulawesi Utara,2019,21751.0,6124.0,4882.0,8262.0,1596.0,1398.0,1208.0,1463.0,3316.0
127,Sulawesi Utara,2020,21035.0,5889.0,6057.0,8320.0,1526.0,1263.0,1046.0,1538.0,3326.0
128,Sulawesi Utara,2021,27858.0,5976.0,8885.0,15309.0,2050.0,3118.0,2450.0,2112.0,12242.0
129,Sulawesi Utara,2022,37503.0,14710.0,11884.0,21020.0,2402.0,3980.0,2521.0,2715.0,13265.0
130,Sumatera Barat,2019,48897.0,10418.0,15126.0,17543.0,9067.0,1439.0,944.0,1751.0,3915.0
131,Sumatera Barat,2020,44519.0,11715.0,17797.0,20747.0,7755.0,1204.0,695.0,1140.0,3928.0
132,Sumatera Barat,2021,32722.0,6958.0,12946.0,14832.0,4833.0,891.0,519.0,1140.0,4759.0
133,Sumatera Barat,2022,74646.0,16456.0,20628.0,29201.0,4271.0,2066.0,1569.0,2841.0,8322.0
134,Sumatera Selatan,2019,27575.0,12478.0,5102.0,10937.0,682.0,932.0,489.0,405.0,1400.0
135,Sumatera Selatan,2020,34612.0,5721.0,6390.0,11780.0,3438.0,1701.0,1707.0,2805.0,11846.0
136,Sumatera Selatan,2021,28242.0,5727.0,6508.0,11128.0,2164.0,1183.0,946.0,1281.0,2821.0
137,Sumatera Selatan,2022,37103.0,8160.0,8768.0,14726.0,2175.0,2175.0,1236.0,1083.0,4574.0
138,Sumatera Utara,2019,18509.0,17679.0,9936.0,13410.0,1732.0,2083.0,884.0,816.0,4081.0
139,Sumatera Utara,2020,26089.0,19912.0,11629.0,13315.0,1945.0,2063.0,775.0,829.0,3443.0
140,Sumatera Utara,2021,27123.0,9862.0,12531.0,11295.0,3695.0,3412.0,1350.0,3858.0,8524.0
141,Sumatera Utara,2022,28823.0,12625.0,11162.0,11317.0,1605.0,2607.0,1448.0,2099.0,8264.0
142,Yogyakarta,2019,18159.0,1411.0,2498.0,3421.0,1740.0,199.0,63.0,1287.0,1002.0
143,Yogyakarta,2020,17793.0,1371.0,2504.0,5234.0,546.0,171.0,17.0,1411.0,953.0
144,Yogyakarta,2021,11739.0,1091.0,1878.0,2801.0,380.0,89.0,13.0,1177.0,832.0
145,Yogyakarta,2022,11363.0,25.0,3000.0,4827.0,223.0,126.0,60.0,216.0,160.0
