,Provinsi,Tahun,Timbulan Sampah Harian (Ton),Timbulan Sampah Tahunan (Ton),Sampah masuk (ton/tahun),Sampah terkelola (ton/tahun),Bahan baku Pakan Ternak,Bahan baku Kompos,Bahan baku Daur Ulang,Bahan baku Up-cycle,Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%)
27,Jambi,2022,965.6999999999999,352484.44,3966.696,2734.7832000000003,99600.0,1450140.0,1177716.0,7327.2,16181.0,2973.0,5068.0,9336.0,1776.0,1177.0,1752.0,156.0,1581.0
28,Jawa Barat,2019,7965.46,2907389.89,46136.47486333334,10476.297283333333,95349.59999999999,210813.6,7928401.45,2241732.62,31640.0,10564.0,9655.0,10220.0,2462.0,2385.0,856.0,3368.0,8546.0
29,Jawa Barat,2020,9974.75,3640779.86,6.0,6.0,0.0,0.0,6000.0,0.0,39743.0,7684.0,11335.0,12810.0,1914.0,2187.0,772.0,3275.0,10269.0
30,Jawa Barat,2021,12358.529999999999,4510863.430000001,122795.85156000001,16886.3678,18564.0,15792.0,10973527.05,5878484.71,46194.0,9991.0,12796.0,22718.0,2217.0,3588.0,896.0,3127.0,8473.0
31,Jawa Barat,2022,13410.009999999998,4894648.33,15607.57303,14536.524050000002,267484.8,616648.8,12805677.3,846713.15,48670.0,12956.0,13700.0,23163.0,2970.0,3890.0,1118.0,3437.0,10086.0
32,Jawa Tengah,2019,10264.399999999998,3746508.5500000003,124.84795,122.45995,0.0,6300.0,100199.95,15960.0,87700.0,30811.0,20905.0,29130.0,4375.0,3779.0,2302.0,3668.0,5770.0
33,Jawa Tengah,2020,11844.14,4323106.859999999,914.63508,808.35336,2346.0,309440.4,479237.76,17329.2,70812.0,31130.0,23148.0,34298.0,3608.0,4268.0,2682.0,3829.0,6026.0
34,Jawa Tengah,2021,13758.6,5021888.22,57788.03663,6108.74499,138218.84,853331.9400000001,4891292.99,225901.22,85162.0,32944.0,27156.0,46478.0,5826.0,6139.0,3391.0,5134.0,17670.0
35,Jawa Tengah,2022,15784.899999999998,5761491.499999999,12067800.84743,49766.791280000005,4620880.22,4845694.88,33787341.22,6512874.96,111030.0,28066.0,28480.0,48907.0,9242.0,8102.0,4111.0,7119.0,13086.0
36,Jawa Timur,2019,15060.72,5497163.450000001,19.30296,1.746,0.0,240.0,1266.0,240.0,120124.0,39871.0,30758.0,39607.0,4007.0,3767.0,3813.0,2776.0,13634.0
37,Jawa Timur,2020,10540.76,3847380.6399999997,279.03882,262.87682,0.0,240.0,262144.82,492.0,90506.0,16816.0,17724.0,26209.0,1718.0,3597.0,3090.0,2039.0,18311.0
38,Jawa Timur,2021,10599.42,3868784.3200000003,70164.55411,49308.92847,29061039.229999997,249754.81,18375859.47,1622274.95,91286.0,15027.0,19664.0,28956.0,3637.0,4053.0,2329.0,2985.0,23863.0
39,Jawa Timur,2022,13573.44,4954299.350000001,39552.892850000004,17243.37286,27537.6,698321.3099999999,16197119.67,320394.24,131332.0,26353.0,26771.0,43854.0,4647.0,5783.0,3656.0,4376.0,15028.0
40,Kalimantan Barat,2019,1445.8500000000004,527737.08,328.17012,249.38532,6750.0,24198.0,211320.12,7117.2,19665.0,4289.0,6714.0,13002.0,1682.0,847.0,945.0,722.0,2134.0
41,Kalimantan Barat,2020,1436.74,524411.56,328.17012,249.38532,6750.0,24198.0,211320.12,7117.2,26882.0,5120.0,6170.0,13932.0,1620.0,873.0,500.0,928.0,3975.0
42,Kalimantan Barat,2021,1199.49,437814.0,267.6828,114.2748,3900.0,3108.0,95502.0,11764.8,9621.0,1921.0,1893.0,3210.0,30.0,100.0,90.0,496.0,2639.0
43,Kalimantan Barat,2022,1277.13,466145.93,388.65744,384.49584000000004,9600.0,45288.0,327138.24,2469.6,16177.0,1502.0,3700.0,7482.0,2120.0,251.0,1176.0,429.0,7163.0
44,Kalimantan Selatan,2019,1628.8199999999997,594528.74,3817.2543066666667,870.5670533333333,33824.0,37813.04,760786.0133333333,38144.0,52587.0,14126.0,9996.0,21836.0,1918.0,1791.0,885.0,2384.0,4477.0
45,Kalimantan Selatan,2020,1268.79,463110.54000000004,39.98472,39.85464,0.0,1020.0,38834.64,0.0,45700.0,5455.0,10500.0,18179.0,1830.0,2578.0,499.0,1857.0,3401.0
46,Kalimantan Selatan,2021,2144.09,782592.3900000001,5460.32916,821.5181200000001,97512.0,84927.12,560222.2,78856.8,52724.0,7525.0,13835.0,20953.0,1988.0,2984.0,1183.0,2180.0,6627.0
47,Kalimantan Selatan,2022,1212.06,442404.96,5951.44904,1750.3283999999999,3960.0,27492.0,1683301.2,35575.2,26454.0,14556.0,6151.0,13822.0,1072.0,1213.0,382.0,872.0,5478.0
48,Kalimantan Tengah,2019,928.5700000000002,338925.16000000003,2191.1773866666667,582.2945866666666,193780.0,5620.0,380262.58666666667,2632.0,34299.0,8339.0,8218.0,15818.0,1786.0,2353.0,1605.0,1741.0,5719.0
49,Kalimantan Tengah,2020,968.43,353476.75,4985.5380000000005,394.08959999999996,297120.0,0.0,96813.6,156.0,34509.0,8120.0,8508.0,15587.0,1800.0,2253.0,1655.0,1561.0,5979.0
50,Kalimantan Tengah,2021,632.22,230760.19,938.186,801.482,140040.0,14040.0,646850.0,552.0,17755.0,8407.0,7585.0,17162.0,1747.0,1527.0,1351.0,803.0,3662.0
51,Kalimantan Tengah,2022,592.95,216427.04,649.80816,551.3121600000001,144180.0,2820.0,397124.16000000003,7188.0,12756.0,5507.0,3935.0,10662.0,747.0,1127.0,1451.0,753.0,3062.0
52,Kalimantan Timur,2019,1975.31,720985.78,18242.362205,15577.52987,111266.495,137809.72,14824863.695,503589.96,35999.0,5984.0,12891.0,13907.0,3957.0,2445.0,508.0,1684.0,2625.0
53,Kalimantan Timur,2020,1635.4699999999998,596948.7999999999,18242.362205,15577.52987,111266.495,137809.72,14824863.695,503589.96,31485.0,2165.0,9626.0,9643.0,1026.0,1874.0,371.0,1463.0,2347.0
54,Kalimantan Timur,2021,1825.49,666303.38,5817.4963099999995,5349.23531,31020.0,58892.74,4781836.46,477486.12,35785.0,4165.0,10326.0,11843.0,1226.0,1974.0,571.0,1663.0,2447.0
55,Kalimantan Timur,2022,2169.3900000000003,791828.97,30667.228100000004,25805.82443,191512.99,216726.7,24867890.93,529693.8,46224.0,4793.0,11600.0,17590.0,2589.0,2094.0,591.0,1762.0,2757.0
56,Kalimantan Utara,2019,198.44,72429.19,121.272,108.06,0.0,0.0,108060.0,0.0,8740.0,2020.0,3940.0,3830.0,120.0,220.0,10.0,10.0,1110.0
57,Kalimantan Utara,2020,221.14,80718.83,121.272,108.06,0.0,0.0,108060.0,0.0,8740.0,2020.0,3940.0,3830.0,120.0,220.0,10.0,10.0,1110.0
58,Kalimantan Utara,2021,55.050000000000004,20093.14,38.4,36.0,0.0,0.0,36000.0,0.0,4640.0,820.0,2340.0,2130.0,20.0,20.0,10.0,10.0,10.0
59,Kalimantan Utara,2022,56.87,20754.7,204.144,180.12,0.0,0.0,180120.0,0.0,4640.0,820.0,2340.0,2130.0,20.0,20.0,10.0,10.0,10.0
60,Kepulauan Bangka Belitung,2019,436.97999999999996,159497.41,10969.5876,171.796285,0.0,0.0,163776.67,8019.615,8616.0,8232.0,3154.0,5124.0,1529.0,1657.0,507.0,220.0,961.0
61,Kepulauan Bangka Belitung,2020,561.41,204915.05,10969.5876,171.796285,0.0,0.0,163776.67,8019.615,11840.0,11330.0,4893.0,4402.0,493.0,1992.0,1066.0,422.0,3562.0
62,Kepulauan Bangka Belitung,2021,524.5,191441.88,21771.659480000002,185.1192,0.0,0.0,176299.2,8820.0,15217.0,10552.0,3511.0,8688.0,2684.0,1753.0,1096.0,1950.0,4549.0
63,Kepulauan Bangka Belitung,2022,340.62,124325.13,167.51572000000002,158.47337,0.0,0.0,151254.14,7219.23,13975.0,5046.0,2287.0,11127.0,928.0,1059.0,652.0,1121.0,3805.0
64,Kepulauan Riau,2019,1772.9900000000002,647141.12,3636.6771566666666,1173.7157533333332,15157.199999999999,17153.68,1107071.6733333333,34333.200000000004,17030.0,7990.0,7970.0,9540.0,1070.0,2070.0,1270.0,1010.0,2050.0
65,Kepulauan Riau,2020,1287.93,470096.39999999997,551.8416,548.8416,0.0,0.0,548121.6,720.0,17300.0,8410.0,8370.0,9110.0,1030.0,2090.0,1130.0,760.0,1800.0
66,Kepulauan Riau,2021,207.38,75692.73999999999,753.21204,725.53664,1737.6,24010.8,608180.24,91608.0,3766.0,540.0,2389.0,1400.0,70.0,525.0,460.0,300.0,550.0
67,Kepulauan Riau,2022,1606.73,586454.74,9604.97783,2246.76902,43734.0,27450.24,2164913.18,10671.6,10520.0,3840.0,6630.0,5110.0,680.0,1290.0,860.0,560.0,510.0
68,Lampung,2019,1246.71,455047.47,234.0,26.102400000000003,0.0,25116.0,493.2,493.2,15707.0,4141.0,2945.0,10916.0,861.0,402.0,1104.0,734.0,3291.0
69,Lampung,2020,1355.1,494611.24,447.24,196.47756,0.0,251.16,190693.2,5533.2,15145.0,7030.0,4615.0,9659.0,866.0,529.0,459.0,540.0,1257.0
70,Lampung,2021,1947.8500000000001,710965.78,6307.92,307.92,0.0,0.0,274920.0,33000.0,17179.0,9636.0,3906.0,11235.0,2277.0,885.0,467.0,1205.0,3310.0
71,Lampung,2022,2168.99,791680.3300000001,1914.45372,1259.103,99044.4,347630.16000000003,755692.4400000001,56736.0,27987.0,7851.0,4532.0,11447.0,1010.0,2465.0,1246.0,915.0,2537.0
72,Maluku,2019,349.32,127501.04,48.0,48.0,0.0,0.0,48000.0,0.0,9500.0,6380.0,3860.0,5260.0,1360.0,1000.0,650.0,1010.0,980.0
73,Maluku,2020,301.35,109991.62,48.0,48.0,0.0,0.0,48000.0,0.0,5900.0,2800.0,2830.0,3890.0,1200.0,830.0,500.0,1200.0,850.0
74,Maluku,2021,255.0,93074.44,48.0,48.0,0.0,0.0,48000.0,0.0,4150.0,3950.0,2180.0,3880.0,760.0,1030.0,800.0,870.0,2380.0
