Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Kabupaten,Provinsi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
7313 101 2022 012 024 1,7313,24/12/22,BANJIR,WAJO,Sulawesi Selatan,"Dipicu oleh curah hujan dengan intensitas sedang hingga deras, mengakibatkan meluapnya air Sungai Walennae serta tingginya debit air dari hulu Sungai yang bermuara di Danau Tempe.",2,0,0,0,7681,0
7315 101 2022 012 024 1,7315,24/12/22,BANJIR,PINRANG,Sulawesi Selatan,Dipicu hujan lebat sehingga mengakibatkan Laka tunggal yang mengakibatkan mobil terjun ke irigasi pembuangan,0,1,0,0,0,0
5203 101 2022 012 024 1,5203,24/12/22,BANJIR,LOMBOK TIMUR,Nusa Tenggara Barat,Dipicu hujan dengan intensitas lebat dan disertai angin yang kencang,0,0,0,0,200,0
7205 101 2022 012 024 1,7205,24/12/22,BANJIR,DONGGALA,Sulawesi Tengah,Dipicu oleh gelombang pasang dan angin kencang menyebabkan banjir rob,0,0,0,150,500,3
6101 101 2022 012 023 1,6101,23/12/22,BANJIR,SAMBAS,Kalimantan Barat,Dipicu oleh hujan dengan intensitas sedang hingga,0,0,0,0,196,0
8206 101 2022 012 023 1,8206,23/12/22,BANJIR,HALMAHERA TIMUR,Maluku Utara,Dipicu akibat intensitas curah hujan tinggi,0,0,0,0,30,0
7604 101 2022 012 023 1,7604,23/12/22,BANJIR,MAMUJU,Sulawesi Barat,Dipicu oleh hujan dengan intensitas tinggi,0,0,0,36,0,0
7312 101 2022 012 023 1,7312,23/12/22,BANJIR,SOPPENG,Sulawesi Selatan,"Dipicu hujan deras secara terus menerus di Kabupaten Soppeng dan sekitarnya, mengakibatkan Sungai Paddangeng dan Sungai Batu-Batu meluap sehingga menimbulkan banjir di beberapa kecamatan.",0,0,0,0,8578,0
3313 101 2022 012 023 1,3313,23/12/22,BANJIR,KARANGANYAR,Jawa Tengah,"Dipicu oleh hujan dengan intensitas tinggi mengakibatkan debit air sungai irigasi meningkat, besarnya debit air sungai menyebabkan tanggul sungai roboh dan struktur tanah labil",1,0,0,0,56,0
7308 101 2022 012 023 1,7308,23/12/22,BANJIR,MAROS,Sulawesi Selatan,Terjadinya hujan dengan intensitas sedang hingga lebat yang di sertai dengan adanya angin kencang ditambah dengan kondisi air laut yg lagi pasang,2,0,0,0,0,0
