Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Kabupaten,Provinsi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
3209 101 2022 02 021 1,3209,21/02/22,BANJIR,CIREBON,Jawa Barat,Hujan dengan intensitas tinggi dan durasi yang lama menyebabkan meluapnya Sungai Ciberes dan beberapa irigasi,0,0,0,0,1684,0
8207 101 2022 02 021 1,8207,21/02/22,BANJIR,PULAU MOROTAI,Maluku Utara,hujan deras dengan intensitas tinggi sehingga mengakibatkan beberapa sungai meluap,1,0,0,0,96,0
9403 101 2022 02 021 1,9403,21/02/22,BANJIR,JAYAPURA,Papua,Akibat curah hujan dengan intensitas tinggi,0,0,0,0,195,0
7313 101 2022 02 021 1,7313,21/02/22,BANJIR,WAJO,Sulawesi Selatan,"Dipicu tingginya curah hujan di daerah hulu Sungai Walennae sehingga sungai tidak bisa menampung debit air, diperparah kondisi tanggul sepanjang 100 meter yang jebol sejak Agustus 2021 di Desa Ujungpero Kecamatan Sabbangparu. Ketinggian air mencapai 1 meter.",0,0,0,0,125,0
7108 101 2022 02 021 1,7108,21/02/22,BANJIR,KEPULAUAN SIAU TAGULANDANG BIARO,Sulawesi Utara,Dipicu hujan dengan intensitas tinggi,0,0,0,0,0,0
7415 101 2022 02 021 1,7415,21/02/22,BANJIR,BUTON SELATAN,Sulawesi Tenggara,"dipicu akibat cuaca ekstrim yang terjadi di wilayah Kab. Button Selatan dan mengakibatkan Banjir, Tanah Longsor dan gelombang pasang",0,0,0,23,0,0
6504 101 2022 02 019 1,6504,19/02/22,BANJIR,NUNUKAN,Kalimantan Utara,Dipicu hujan dengan intensitas sedang-tinggi Sungai Sedalir kembali Meluap dan merendam rumah Warga,0,0,0,10,110,0
7322 101 2022 02 019 1,7322,19/02/22,BANJIR,LUWU UTARA,Sulawesi Selatan,Tingginya Curah Hujan di daerah Hulu Sungai Rongkong sehingga debit air sungai naik yg mengakibatkan Jebolnya Tanggul,0,0,0,0,41,0
6211 101 2022 02 018 1,6211,18/02/22,BANJIR,GUNUNG MAS,Kalimantan Tengah,Dipicu hujan dengan intensitas tinggi,0,0,0,0,83,0
7501 101 2022 02 018 1,7501,18/02/22,BANJIR,BOALEMO,Gorontalo,"Dipicu oleh curah hujan dengan intensitas tinggi, mengakibatkan debit air sungai meluap dan menggenangi pemukiman warga",0,0,0,0,363,0
3374 101 2022 02 018 1,3374,18/02/22,BANJIR,KOTA SEMARANG,Jawa Tengah,"Dipicu oleh hujan dengan intensitas tinggi mengakibatkan Sungai Plumbon meluap menyebabkan banjir pada hari Jumat, 18 Februari 2022 Pkl. 16.00 WIB",0,0,0,0,91,0
7316 101 2022 02 018 1,7316,18/02/22,BANJIR,ENREKANG,Sulawesi Selatan,Dipicu oleh intensitas curah hujan yang cukup tinggi mengakibatkan sungai Saddang meluap,0,0,0,0,45,0
3321 101 2022 02 017 1,3321,17/02/22,BANJIR,DEMAK,Jawa Tengah,Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,127,0
3602 101 2022 02 017 1,3602,17/02/22,BANJIR,LEBAK,Banten,Dipicu oleh intensitas curah hujan yang cukup tinggi selama 4 jam mengakibatkan meluapnya sungai Cicarucub,0,0,0,8,64,4
3216 101 2022 02 017 1,3216,17/02/22,BANJIR,BEKASI,Jawa Barat,dipicu akibat hujan dengan intensitas sedang hingga lebat yang terjadi di wilayah Kota Bekasi dan Kab. Bekasi dan menyebabkan meluapnya Sungai Cikeas dan Cileungsi,0,0,0,0,1456,0
3171 101 2022 02 017 1,3171,17/02/22,BANJIR,KOTA JAKARTA SELATAN,Jakarta Raya,Dipicu oleh intensitas hujan yang cukup tinggi,0,0,0,0,0,0
3202 101 2022 02 017 1,3202,17/02/22,BANJIR,SUKABUMI,Jawa Barat,dipicu oleh Hujan Intensitas Hujan yang cukup tinggi  dan terus menerus menyebabkan arus sungai cimahpar meluap,0,0,0,2,6,0
7322 101 2022 02 017 1,7322,17/02/22,BANJIR,LUWU UTARA,Sulawesi Selatan,Dipicu oleh Tingginya Curah Hujan sejak tanggal 16 sampai dengan tanggal 17 Februari 2022 di hulu sungai Rongkong yang menyebabkan naiknya debit air sungai dan  tanggul jebol yang banjir dusun wellang pellang,0,0,0,0,32,2
3201 101 2022 02 017 1,3201,17/02/22,BANJIR,BOGOR,Jawa Barat,Dipicu oleh Hujan Intensitas curah hujan yang cukup tinggi dan dalam durasi yang cukup lama menyebabkan Meluapnya aliran sungai Cisero dan Aliran Sungai Cibadak,0,0,0,0,13,0
3203 101 2022 02 017 1,3203,17/02/22,BANJIR,CIANJUR,Jawa Barat,dipicu oleh Hujan Intensitas Hujan yang cukup tinggi,0,0,0,0,35,0
3324 101 2022 02 017 1,3324,17/02/22,BANJIR,KENDAL,Jawa Tengah,Dipicu oleh hujan dengan intensitas tinggi dan dalam  durasi yang cukup lama,0,0,1,0,0,0
3172 101 2022 02 017 1,3172,17/02/22,BANJIR,KOTA JAKARTA TIMUR,Jakarta Raya,Dipicu oleh intensitas hujan yang cukup tinggi,0,0,0,0,0,0
3319 101 2022 02 017 1,3319,17/02/22,BANJIR,KUDUS,Jawa Tengah,Dipicu oleh hujan dengan intensitas tinggi dan dalam  durasi yang cukup lama menyebabkan debit air sungai meningkat dan tanggul jebol,0,0,0,0,0,0
1705 101 2022 02 017 1,1705,17/02/22,BANJIR,SELUMA,Bengkulu,Dipicu oleh intensitas hujan yang cukup tinggi di hulu sungai Maras yang mengakibatkan desa-desa yang berada di bagian hilir terdampak banjir,0,0,0,1,372,2
3272 101 2022 02 017 1,3272,17/02/22,BANJIR,KOTA SUKABUMI,Jawa Barat,Dipicu oleh intensitas curah hujan yang cukup tinggi,1,0,2,1066,0,0
3275 101 2022 02 016 1,3275,16/02/22,BANJIR,KOTA BEKASI,Jawa Barat,dipicu akibat hujan dengan intensitas sedang hingga lebat yang terjadi di wilayah Kota Bekasi dan Kab. Bekasi dan menyebabkan meluapnya Sungai Cikeas dan Cileungsi,0,0,0,0,262,0
3201 101 2022 02 016 1,3201,16/02/22,BANJIR,BOGOR,Jawa Barat,Dipicu oleh intensitas hujan yang cukup tinggi dan dalam durasi yang cukup lama,0,0,0,1,3133,0
3201 101 2022 02 016 1,3201,16/02/22,BANJIR,BOGOR,Jawa Barat,dipicu akibat hujan dengan intensitas tinggi dan mengakibatkan meluapnya anak kali baru yang menggenangi pemukiman warga,0,0,0,0,3281,0
7111 101 2022 02 016 1,7111,16/02/22,BANJIR,BOLAANG MONGONDOW TIMUR,Sulawesi Utara,dipicu akibat hujan dengan intensitas sedang hingga lebat yang terjadi di Wilayah Kec. Motongkad,0,0,0,0,15,0
7503 101 2022 02 016 1,7503,16/02/22,BANJIR,POHUWATO,Gorontalo,Dipicu akibat hujan dengan intensitas lebat dan mengakibatkan meluapnya sungai di wilayah desa tersebut,0,0,0,0,22,0
1174 101 2022 02 016 1,1174,16/02/22,BANJIR,KOTA LHOKSEUMAWE,Aceh,Dipicu hujan dengan intensitas tinggi,0,0,0,0,0,0
3276 101 2022 02 016 1,3276,16/02/22,BANJIR,KOTA DEPOK,Jawa Barat,Dipicu akibat hujan dengan intensitas sedang hingga lebat di wilayah Kota Depok dan sekitarnya dan terjadi banjir di wilayah Kec. Sawangan dengan TMA ± 130 Cm,0,0,0,0,53,0
3201 101 2022 02 016 1,3201,16/02/22,BANJIR,BOGOR,Jawa Barat,Dipicu akibat hujan dengan intensitas lebat dengan durasi cukup lama dan menyebabkan meluapnya Sungai Cileungsi,0,0,0,0,3200,0
3277 101 2022 02 015 1,3277,15/02/22,BANJIR,KOTA CIMAHI,Jawa Barat,dipicu akibat hujan dengan intensitas sedang hingga lebat yang terjadi di wilayah Kota Cimahi dan Kabupaten Cimahi,0,0,0,2,57,0
3217 101 2022 02 015 1,3217,15/02/22,BANJIR,BANDUNG BARAT,Jawa Barat,Dipicu hujan dengan intensitas tinggi,0,0,0,0,3,0
7503 101 2022 02 015 1,7503,15/02/22,BANJIR,POHUWATO,Gorontalo,Dipicu hujan deras menyebabkan naiknya debit air diperparah dengan buruknya drainase di sepanjang Jalur Jalan Trans Sulawesi,0,0,0,0,19,0
6472 101 2022 02 015 1,6472,15/02/22,BANJIR,KOTA SAMARINDA,Kalimantan Timur,Dipicu hujan dengan intensitas tinggi,0,0,0,0,295,0
5204 101 2022 02 014 1,5204,14/02/22,BANJIR,SUMBAWA,Nusa Tenggara Barat,Dipicu hujan deras yang mengguyur mengakibatkan banjir bandang yang menggenangi sebagian pemukiman warga,0,0,0,688,0,3
8272 101 2022 02 013 1,8272,13/02/22,BANJIR,KOTA TIDORE KEPULAUAN,Maluku Utara,Dipicu hujan dengan intensitas sedang-tinggi,0,0,0,4,0,1
1309 101 2022 02 013 1,1309,13/02/22,BANJIR,PASAMAN,Sumatera Barat,Dipicu oleh intensitas curah hujan yang cukup tinggi dan dalam durasi yang cukup lama,0,0,0,15,35,3
7502 101 2022 02 013 1,7502,13/02/22,BANJIR,GORONTALO,Gorontalo,Dipicu oleh intensitas curah hujan yang cukup tinggi di Kec. Buntulia Pada hari Sabtu Pukul 13.00 s.d 17.00 wita menyebabkan naiknya debit air sungai Taluduyunu,0,0,0,0,10,0
3502 101 2022 02 013 1,3502,13/02/22,BANJIR,PONOROGO,Jawa Timur,Dipicu oleh hujan intensitas ringan-sedang-tinggi mengguyur wilayah Ponorogo,0,0,0,2,15,0
3301 101 2022 02 013 1,3301,13/02/22,BANJIR,CILACAP,Jawa Tengah,"Dipicu oleh Besarnya kiriman debit air dari daerah Desa Cipari, Segaralangu Kec. Cipari dan Desa Kunci bagian utara Kec. Sidareja sehingga sungai cidurian / prumpung tidak bisa menampung debit air dan meluap ke jalan",0,0,0,0,360,0
7322 101 2022 02 013 1,7322,13/02/22,BANJIR,LUWU UTARA,Sulawesi Selatan,Dipicu hujan yang tinggi    sejak 2 hari terakhir di bagian Hulu sungai Rongkong menyebabkan naiknya debit air sungai,0,0,0,0,86,0
5202 101 2022 02 013 1,5202,13/02/22,BANJIR,LOMBOK TENGAH,Nusa Tenggara Barat,Dipicu oleh intensitas curah hujan yang cukup tinggi dan dalam durasi yang cukup lama,0,0,0,0,377,0
5202 101 2022 02 012 1,5202,12/02/22,BANJIR,LOMBOK TENGAH,Nusa Tenggara Barat,Dipicu oleh intensitas curah hujan yang cukup tinggi Upaya :,0,0,0,0,69,0
6106 101 2022 02 012 1,6106,12/02/22,BANJIR,KETAPANG,Kalimantan Barat,"Dipicu oleh Tingginya intensitas curah hujan pada tanggal, 09 Februari sampai dengan tanggal, 11 Februari 2022 di beberapa wilayah di Kabupaten Ketapang menyebabkan banjir di Kecamatan Simpang Hulu",0,0,0,0,2228,0
3322 101 2022 02 012 1,3322,12/02/22,BANJIR,SEMARANG,Jawa Tengah,Dipicu oleh intensitas curah hujan yang cukup tinggi dan dalam durasi yang cukup lama,0,0,0,0,23,0
3519 101 2022 02 012 1,3519,12/02/22,BANJIR,MADIUN,Jawa Timur,Dipicu oleh intensitas curah hujan yang cukup tinggi mengakibatkan sungai Widas di Dsn. Serampang Mojo Ds. Nampu Kec. Gemarang meluap Upaya :,0,0,0,2,14,0
3328 101 2022 02 012 1,3328,12/02/22,BANJIR,TEGAL,Jawa Tengah,Dipicu hujan dengan intensitas tinggi,1,0,0,0,700,0
3529 101 2022 02 011 1,3529,11/02/22,BANJIR,SUMENEP,Jawa Timur,Dipicu oleh Hujan Intensitas tinggi mengakibatkan air sungai di dusun panele gapura tengah desa panele meluap hingga ke pemukiman penduduk,0,0,0,0,43,0
6108 101 2022 02 011 1,6108,11/02/22,BANJIR,KAPUAS HULU,Kalimantan Barat,Dipicu hujan dengan intensitas tinggi,0,0,0,0,92,0
1408 101 2022 02 010 1,1408,10/02/22,BANJIR,BENGKALIS,Riau,Dipicu akibat hujan dengan intensitas sedang hingga lebat yang terjadi di wilayah Kab. Bengkalis dan menyebabkan banjir dan menggenangi rumah warga,0,0,0,0,1274,0
6105 101 2022 02 010 1,6105,10/02/22,BANJIR,SANGGAU,Kalimantan Barat,Dipicu hujan dengan intensitas tinggi mengakibatkan air sungai Merowi Meluap,0,0,0,2,400,0
3329 101 2022 02 010 1,3329,10/02/22,BANJIR,BREBES,Jawa Tengah,dipicu hujan dengan intensitas sedang dengan durasi yang cukup lama di wilayah Brebes Selatan dan mengakibatkan meluapnya Sungai Pemali dan Sungai Gondang dan menggenangi rumah warga,0,0,0,0,100,0
3525 101 2022 02 010 1,3525,10/02/22,BANJIR,GRESIK,Jawa Timur,dipicu akibat hujan dengan intensitas sedang hingga lebat yang terjadi di Kab. Gresik dan menyebabkan banjir dan menggenangi rumah warga,0,0,0,0,463,0
6106 101 2022 02 010 1,6106,10/02/22,BANJIR,KETAPANG,Kalimantan Barat,dipicu akibat hujan dengan intensitas lebat serta terjadi pendangkalan pada saluran drainase yang mengakibatkan meluapnya aliran sungai dan mengganggu aktivitas masyarakat,0,0,0,0,0,0
1218 101 2022 02 010 1,1218,10/02/22,BANJIR,SERDANG BEDAGAI,Sumatera Utara,dipicu akibat tingginya curah hujan di wilayah Kec. Sipispis dengan intensitas sedang hingga lebat menyebabkan meluapnya Sungai Bahuri dan  Sungai Padang,0,0,0,0,218,0
3529 101 2022 02 010 1,3529,10/02/22,BANJIR,SUMENEP,Jawa Timur,dipicu akibat terjadinya hujan dengan intensitas sedang hingga lebat di wilayah Kab. Sumenep dan mengakibatkan banjir,0,0,0,0,42,0
1274 101 2022 02 010 1,1274,10/02/22,BANJIR,KOTA TEBING TINGGI,Sumatera Utara,Dipicu hujan dengan intesitas tinggi disertai meluapnya sungai padang,0,0,0,0,1900,0
3329 101 2022 02 09 1,3329,09/02/22,BANJIR,BREBES,Jawa Tengah,dipicu akibat hujan dengan intensitas sedang hingga lebat disertai angin kencang yang terjadi di wilayah Kec. Bantarkawung dan menyebabkan meluapnya DAS Pemali Hulu,0,0,0,0,4,0
7301 101 2022 02 09 1,7301,09/02/22,BANJIR,SELAYAR,Sulawesi Selatan,Dipicu hujan dengan intensitas tinggi disertai angin kencang,0,0,0,4,0,0
3303 101 2022 02 09 1,3303,09/02/22,BANJIR,PURBALINGGA,Jawa Tengah,dipicu akibat longsornya Talud pada sisi kiri di Sungai Klawing dan menyebabkan aliran tersumbat sehingga aliran sungai meluap dan menggenangi rumah warga,0,0,0,0,47,0
6307 101 2022 02 09 1,6307,09/02/22,BANJIR,HULU SUNGAI TENGAH,Kalimantan Selatan,Dipicu akibat meluapnya aliran sungai di Desa Masiraan dan mengakibatkan air naik dan menggenangi jalan dan pekarangan warga,0,0,0,0,151,0
3516 101 2022 02 09 1,3516,09/02/22,BANJIR,MOJOKERTO,Jawa Timur,Dipicu hujan dengan intensitas tinggi,0,0,0,0,77,0
7317 101 2022 02 08 1,7317,08/02/22,BANJIR,LUWU,Sulawesi Selatan,"Dipicu hujan deras yang terjadi pada hari Selasa, 08 Februari 2022",0,0,0,3,23,1
6307 101 2022 02 08 1,6307,08/02/22,BANJIR,HULU SUNGAI TENGAH,Kalimantan Selatan,Dipicu hujan dengan intensitas yang tinggi,0,0,0,0,151,0
6305 101 2022 02 07 1,6305,07/02/22,BANJIR,TAPIN,Kalimantan Selatan,Dipicu Hujan deras dengan intensitas tinggi,0,0,0,0,81,0
6307 101 2022 02 07 1,6307,07/02/22,BANJIR,HULU SUNGAI TENGAH,Kalimantan Selatan,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai meluapnya sungai haruyan dan sungai barabai,0,0,0,0,265,0
6306 101 2022 02 07 1,6306,07/02/22,BANJIR,HULU SUNGAI SELATAN,Kalimantan Selatan,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai meluapnya sungai yang melintasi Kab. HSS,0,0,0,4,0,1
5305 101 2022 02 07 1,5305,07/02/22,BANJIR,TIMOR TENGAH UTARA,Nusa Tenggara Timur,Dipicu Hujan deras dengan intensitas tinggi,0,0,0,0,97,0
6471 101 2022 02 06 1,6471,06/02/22,BANJIR,KOTA BALIKPAPAN,Kalimantan Timur,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,0,5,0
1703 101 2022 02 06 1,1703,06/02/22,BANJIR,BENGKULU UTARA,Bengkulu,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,0,396,0
1709 101 2022 02 06 1,1709,06/02/22,BANJIR,BENGKULU TENGAH,Bengkulu,Dipicu oleh Hujan Lebat yang mengakibatkan luapan air sungai bengkulu dan merendam rumah warga serta tanah longsor,0,0,0,1,96,0
1771 101 2022 02 06 1,1771,06/02/22,BANJIR,KOTA BENGKULU,Bengkulu,Dipicu oleh intensitas curah hujan yang cukup tinggi dan meluapnya air Sungai Bengkulu,0,0,0,0,679,0
3575 101 2022 02 06 1,3575,06/02/22,BANJIR,KOTA PASURUAN,Jawa Timur,Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,366,0
1701 101 2022 02 06 1,1701,06/02/22,BANJIR,BENGKULU SELATAN,Bengkulu,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,0,33,0
1801 101 2022 02 06 1,1801,06/02/22,BANJIR,LAMPUNG BARAT,Lampung,Dipicu oleh intensitas curah hujan yang cukup tinggi di wilayah Kecamatan Lumbok Seminung dan sekitarnya yang terjadi pada siang hingga malam hari mengakibatkan terjadinya banjir yang membawa material tanah dan bebatuan,0,0,0,0,4,0
3327 101 2022 02 06 1,3327,06/02/22,BANJIR,PEMALANG,Jawa Tengah,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,0,319,0
1706 101 2022 02 06 1,1706,06/02/22,BANJIR,MUKOMUKO,Bengkulu,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,0,11,0
1705 101 2022 02 06 1,1705,06/02/22,BANJIR,SELUMA,Bengkulu,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,2,59,1
3509 101 2022 02 06 1,3509,06/02/22,BANJIR,JEMBER,Jawa Timur,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,19,0,0
3513 101 2022 02 06 1,3513,06/02/22,BANJIR,PROBOLINGGO,Jawa Timur,"Dipicu oleh intensitas curah hujan yang cukup tinggi mengakibatkan banjir luapan di wilayah Ds. Tambakrejo, Kec. Tongas",0,0,0,0,260,0
1704 101 2022 02 05 1,1704,05/02/22,BANJIR,KAUR,Bengkulu,dipicu akibat hujan dengan intensitas sedang hingga lebat yang terjadi di wilayah Kab. Kaur dan berdampak tanah longsor dan banjir,0,0,0,0,80,0
3326 101 2022 02 05 1,3326,05/02/22,BANJIR,PEKALONGAN,Jawa Tengah,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,0,2640,1
3328 101 2022 02 05 1,3328,05/02/22,BANJIR,TEGAL,Jawa Tengah,banjir di akibatkan oleh luapan suangai menyawak mengakibatkan tanggul jebol dan memasuki perkampungan warga,0,0,0,0,16,0
1611 101 2022 02 05 1,1611,05/02/22,BANJIR,EMPAT LAWANG,Sumatera Selatan,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,1,1078,0
3375 101 2022 02 05 1,3375,05/02/22,BANJIR,KOTA PEKALONGAN,Jawa Tengah,Dipicu oleh intensitas hujan yang cukup tinggi sejak siang sampai malam hari,0,0,0,0,0,0
3514 101 2022 02 05 1,3514,05/02/22,BANJIR,PASURUAN,Jawa Timur,Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,7717,0
6107 101 2022 02 04 1,6107,04/02/22,BANJIR,SINTANG,Kalimantan Barat,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,1,0,2,0,0,18
1705 101 2022 02 04 1,1705,04/02/22,BANJIR,SELUMA,Bengkulu,dipicu akibat jebolnya gorong-gorong dan tanggul disebabkan luapan air sungai dan mengakibatkan banjir,0,0,0,9,56,2
5307 101 2022 02 04 1,5307,04/02/22,BANJIR,ALOR,Nusa Tenggara Timur,Dipicu oleh intensitas hujan yang cukup tinggi,0,0,0,264,0,3
1703 101 2022 02 04 1,1703,04/02/22,BANJIR,BENGKULU UTARA,Bengkulu,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,0,30,0
3573 101 2022 02 03 1,3573,03/02/22,BANJIR,KOTA MALANG,Jawa Timur,Dipicu akibat hujan disertai angin kencang yang terjadi di wilayah Kota Malang dan menyebabkan pohon tumbang yang menutup badan jalan dan menimpa rumah warga.,1,0,1,0,21,0
5303 101 2022 02 03 1,5303,03/02/22,BANJIR,KUPANG,Nusa Tenggara Timur,Dipicu oleh hujan dengan intensitas lebat yang terjadi di wilayah Kab. Kupang,0,0,0,0,17,0
3328 101 2022 02 03 1,3328,03/02/22,BANJIR,TEGAL,Jawa Tengah,dipicu akibat hujan dengan intensitas lebat yang terjadi di wilayah Kab. Tegal dan menyebabkan meluapnya DAS Cacaban dan menggenangi rumah warga,0,0,0,0,25,0
3302 101 2022 02 03 1,3302,03/02/22,BANJIR,BANYUMAS,Jawa Tengah,Dipicu hujan dengan intensitas intensitas tinggi,0,0,0,0,9,0
1603 101 2022 02 01 1,1603,01/02/22,BANJIR,MUARA ENIM,Sumatera Selatan, Dipicu hujan dengan intensitas tinggi,0,0,0,0,13,0
1375 101 2022 02 01 1,1375,01/02/22,BANJIR,KOTA BUKITTINGGI,Sumatera Barat, Dipicu hujan dengan intensitas tinggi secara terus menerus selama 1.5 jam yang mengakibatkan banjir di beberapa titik dengan ketinggian air sekitar 60 cm/ selutut orang dewasa dan kondisi tanah yang labil,0,0,0,0,96,0
3328 101 2022 02 01 1,3328,01/02/22,BANJIR,TEGAL,Jawa Tengah, Dipicu hujan dengan intensitas lebat di Wilayah Kabupaten Tegal mengakibatkan beberapa titik Kabupaten Tegal terdampak banjir,0,0,0,0,100,1
1310 101 2022 02 01 1,1310,01/02/22,BANJIR,SOLOK SELATAN,Sumatera Barat, Dipicu hujan dengan intensitas tinggi mengakibat terjadinya longsor dan meluapnya sungai Batang Suliti,0,0,0,0,60,1
1601 101 2022 02 01 1,1601,01/02/22,BANJIR,OGAN KOMERING ULU,Sumatera Selatan, Dipicu hujan dengan intensitas intensitas sangat lebat dengan durasi waktu cukup lama serta tersumbatnya beberapa drainase,0,0,0,0,500,0
3522 101 2022 02 01 1,3522,01/02/22,BANJIR,BOJONEGORO,Jawa Timur, Dipicu hujan dengan intensitas tinggi mengakibatkan meluapnya air sungai Pacal dan sungai Gandong,0,0,0,0,96,0
3203 101 2022 01 031 1,3203,31/01/22,BANJIR,CIANJUR,Jawa Barat,Dipicu hujan dengan intensitas tinggi,0,0,0,0,12,0
3524 101 2022 01 031 1,3524,31/01/22,BANJIR,LAMONGAN,Jawa Timur, Dipicu hujan dengan intensitas tinggi mengakibatkan debit air meningkat sehingga menyebabkan di Sungai Bengawan Njero meluap,0,0,0,0,4966,0
3209 101 2022 01 030 1,3209,30/01/22,BANJIR,CIREBON,Jawa Barat,"Dipicu hujan dengan intensitas sedang hingga lebat dan berangsur lama sehingga menyebabkan meluapnya sungai Singaraja pada hari Minggu, 30 Januari 2022, Pkl. 17:00 WIB",0,0,0,0,209,0
7207 101 2022 01 029 1,7207,29/01/22,BANJIR,BUOL,Sulawesi Tengah,Dipicu oleh hujan dengan intensitas tinggi pada pukul 18.30 wita sampai pukul 23.00 wita Dan banjir mulai memasuki rumah warga pada pukul 02.30 Wita,0,0,0,0,53,0
7207 101 2022 01 028 1,7207,28/01/22,BANJIR,BUOL,Sulawesi Tengah,Hujan deras dengan durasi lama,0,0,0,0,53,0
7174 101 2022 01 028 1,7174,28/01/22,BANJIR,KOTA KOTAMOBAGU,Sulawesi Utara,Banjir dikarenakan luapan air dan dinding penahan drainase jebol,0,0,0,0,1,0
6501 101 2022 01 028 1,6501,28/01/22,BANJIR,MALINAU,Kalimantan Utara,"Dipicu curah hujan yang tinggi sehingga meluap nya sungai Kayan dan sungai Mentarang, Sungai Malinau,Sungai Sesayap dan sungai sembuak",0,0,0,0,1814,0
3509 101 2022 01 028 1,3509,28/01/22,BANJIR,JEMBER,Jawa Timur,"Hujan intensitas sedang hingga lebat mengakibatkan , meningkatkan debit air sungai dan saluran irigasi  di wilayah Kec.Panti, Kec .Sukorambi , dan Kec. Kalisat. Pkl 16.42 wib air meluap ke pemukiman warga dan Akses jalan raya dari Saluran irigasi, akibat tidak menampung debit air  dengan ketinggian air ± 30 - 80 cm.",0,0,0,1,31,0
3302 101 2022 01 028 1,3302,28/01/22,BANJIR,BANYUMAS,Jawa Tengah,Hujan dengan intensitas tinggi dan durasi yang cukup lama,0,0,0,0,8,0
3309 101 2022 01 027 1,3309,27/01/22,BANJIR,BOYOLALI,Jawa Tengah,dipicu akibat hujan dengan intensitas lebat yang terjadi di wilayah Kab. Boyolali dan mengakibatkan banjir bandang yang merusak SMAN 1 Kemusu,0,0,0,0,0,1
8272 101 2022 01 027 1,8272,27/01/22,BANJIR,KOTA TIDORE KEPULAUAN,Maluku Utara,Dipicu hujan dengan intensitas tinggi di wilayah Kota Tidore,0,0,0,0,21,0
7174 101 2022 01 026 1,7174,26/01/22,BANJIR,KOTA KOTAMOBAGU,Sulawesi Utara,Akibat Cuaca ekstrem yang melanda wilayah Kota Kotamobagu dan Kab.Bolaang Mongondow  Upaya :,0,0,0,0,77,0
3509 101 2022 01 025 1,3509,25/01/22,BANJIR,JEMBER,Jawa Timur,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,0,32,0
1801 101 2022 01 025 1,1801,25/01/22,BANJIR,LAMPUNG BARAT,Lampung,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,0,5,0
3201 101 2022 01 024 1,3201,24/01/22,BANJIR,BOGOR,Jawa Barat,Dipicu oleh hujan dengan intensitas tinggi mengakibatkan meluapnya aliran kali Cilutung ke pemukiman warga,0,0,0,0,80,0
1804 101 2022 01 024 1,1804,24/01/22,BANJIR,LAMPUNG TIMUR,Lampung,Dipicu oleh hujan deras dengan intensitas curah hujan tinggi di Desa Rejo agung dan buana sakti kecamatan Batanghari banjir diakibatkan luapan dari sungai way sekampung sehingga menutup akses jalan antara Desa  Rejo Agung dan Desa Buana Sakti,0,0,0,0,0,0
6108 101 2022 01 024 1,6108,24/01/22,BANJIR,KAPUAS HULU,Kalimantan Barat,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,0,0,0
6109 101 2022 01 024 1,6109,24/01/22,BANJIR,SEKADAU,Kalimantan Barat,Dipicu hujan dengan intensitas tinggi yang terjadi pada hari senin pagi pukul 07.00 WIB menyebabkan air sungai Sekadau masuk ke pemukiman warga,0,0,0,0,2215,0
1105 101 2022 01 023 1,1105,23/01/22,BANJIR,ACEH TIMUR,Aceh," Dipicu hujan dengan intensitas tinggi di wilayah Kabupaten Aceh Timur sejak pukul 16.30 WIB kemarin mengakibatkan terjadinya banjir yang merendam rumah-rumah warga dan persawahan serta meluapnya sungai di Desa Gajah mentah, Kecamatan Sungai Raya",0,0,0,0,40,0
1810 101 2022 01 023 1,1810,23/01/22,BANJIR,PRINGSEWU,Lampung,Dipicu hujan dengan intensitas tinggi,0,0,0,1,0,0
6403 101 2022 01 023 1,6403,23/01/22,BANJIR,KUTAI KERTANEGARA,Kalimantan Timur, Dipicu hujan dengan intensitas Sedang-Lebat yang dapat disertai Kilat/Petir dan Angin Kencang  Kabupaten Paser Kecamatan Tabang dan sekitarnya  sehingga terjadi banjir signifikan di Bantaran Sungai Belayan terdampak  pemukiman penduduk. Serta Fasum,0,0,0,0,1541,0
