country;subnational1;subnational2;umd_tree_cover_density_2000__threshold;umd_tree_cover_extent_2000__ha;gfw_aboveground_carbon_stocks_2000__Mg_C;avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1;gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1;gfw_forest_carbon_gross_removals__Mg_CO2_yr-1;gfw_forest_carbon_net_flux__Mg_CO2e_yr-1;gfw_forest_carbon_gross_emissions_2001__Mg_CO2e;gfw_forest_carbon_gross_emissions_2002__Mg_CO2e;gfw_forest_carbon_gross_emissions_2003__Mg_CO2e;gfw_forest_carbon_gross_emissions_2004__Mg_CO2e;gfw_forest_carbon_gross_emissions_2005__Mg_CO2e;gfw_forest_carbon_gross_emissions_2006__Mg_CO2e;gfw_forest_carbon_gross_emissions_2007__Mg_CO2e;gfw_forest_carbon_gross_emissions_2008__Mg_CO2e;gfw_forest_carbon_gross_emissions_2009__Mg_CO2e;gfw_forest_carbon_gross_emissions_2010__Mg_CO2e;gfw_forest_carbon_gross_emissions_2011__Mg_CO2e;gfw_forest_carbon_gross_emissions_2012__Mg_CO2e;gfw_forest_carbon_gross_emissions_2013__Mg_CO2e;gfw_forest_carbon_gross_emissions_2014__Mg_CO2e;gfw_forest_carbon_gross_emissions_2015__Mg_CO2e;gfw_forest_carbon_gross_emissions_2016__Mg_CO2e;gfw_forest_carbon_gross_emissions_2017__Mg_CO2e;gfw_forest_carbon_gross_emissions_2018__Mg_CO2e;gfw_forest_carbon_gross_emissions_2019__Mg_CO2e;gfw_forest_carbon_gross_emissions_2020__Mg_CO2e;gfw_forest_carbon_gross_emissions_2021__Mg_CO2e;gfw_forest_carbon_gross_emissions_2022__Mg_CO2e
Indonesia;Aceh;Aceh Barat;0;281203;30730839;109;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat;10;260913;30693868;118;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat;15;259283;30628211;118;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat;20;258298;30586447;118;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat;25;257565;30556188;119;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat;30;256149;30497184;119;1750870;925252;825619;1081997;482313;303613;702798;1519231;750905;1281725;2928523;3205553;1404738;3016035;2600373;3234029;3930132;1430696;1886576;2457002;1394065;939663;794900;1814013;1360270
Indonesia;Aceh;Aceh Barat;50;249560;30202771;121;1736691;890413;846278;1081485;481893;303220;698405;1511536;748423;1280112;2925593;3187695;1402838;3009396;2590676;3205215;3867640;1422150;1869062;2409864;1372898;926352;777169;1790866;1344710
Indonesia;Aceh;Aceh Barat;75;231202;29177105;126;1659643;794418;865225;1074422;478428;297567;665437;1443050;729918;1247266;2865670;3054363;1383823;2948740;2518092;3007083;3611631;1358864;1767371;2228596;1282315;869399;722527;1689581;1267993
Indonesia;Aceh;Aceh Barat Daya;0;189314;25619501;135;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat Daya;10;179293;25589155;143;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat Daya;15;178624;25560286;143;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat Daya;20;178233;25542723;143;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat Daya;25;177985;25531840;143;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat Daya;30;177520;25510103;144;838300;326561;511739;484071;375315;2295446;326590;220302;416110;130030;468126;4319579;1001889;1555832;1304118;852877;811285;575165;618990;633247;465716;323093;413444;478141;373227
Indonesia;Aceh;Aceh Barat Daya;50;175238;25399904;145;836646;313822;522824;484005;375284;2295091;326313;220186;415952;129787;468033;4318097;1001684;1555046;1303987;852080;809462;573369;614220;628250;462580;321212;409730;472538;369306
Indonesia;Aceh;Aceh Barat Daya;75;170014;25093161;148;827626;287754;539872;482307;374285;2286473;323515;218805;414084;128674;466408;4302653;997985;1549749;1298862;846443;798216;563077;594143;607258;447679;309524;393342;449859;354434
Indonesia;Aceh;Aceh Besar;0;290557;25751617;89;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Besar;10;211754;25660410;121;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Besar;15;207634;25465252;123;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Besar;20;205208;25346068;124;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Besar;25;203398;25257634;124;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Besar;30;200000;25079095;125;541455;623719;-82264;339804;159388;38759;633400;396416;181265;370814;95646;1081078;336280;1424267;225928;280864;1114480;322020;594886;1282216;515351;551557;763603;567775;636219
Indonesia;Aceh;Aceh Besar;50;190303;24497209;129;528809;571219;-42410;336944;158768;38678;628503;389135;179414;367049;95340;1075809;334814;1416532;224421;272110;1091577;314827;563366;1233858;494398;528969;727395;548511;613388
Indonesia;Aceh;Aceh Besar;75;170788;22984737;135;476578;467643;8935;322955;152742;37297;593410;346629;167293;347378;92061;1041088;321902;1361049;212117;234045;983044;274168;448670;1048219;423155;450675;610584;483924;532319
Indonesia;Aceh;Aceh Jaya;0;386638;50423995;130;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Jaya;10;376041;50399237;134;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Jaya;15;375243;50366362;134;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Jaya;20;374571;50337005;134;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Jaya;25;374169;50319636;134;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Jaya;30;373389;50286670;135;1453624;897226;556398;927653;348781;192041;1115320;2682864;245217;1190750;2111753;2053011;522827;2051996;2188166;2113434;2736468;914035;1544531;2284339;1426689;936271;1162603;1610358;1620617
Indonesia;Aceh;Aceh Jaya;50;368769;50077769;136;1442599;874706;567894;927155;348626;191944;1100896;2661341;244684;1189990;2110424;2051584;522394;2048997;2183617;2095879;2723339;910479;1518385;2243213;1404919;922266;1137899;1597122;1602037
Indonesia;Aceh;Aceh Jaya;75;354696;49250178;139;1392077;811149;580928;921071;347237;190627;1029045;2530885;239883;1180599;2095239;2037162;517775;2031294;2162786;2032146;2664117;888450;1415122;2090691;1316279;865313;1042256;1532950;1494762
Indonesia;Aceh;Aceh Selatan;0;421660;57280874;136;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Selatan;10;406066;57238783;141;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Selatan;15;404831;57184784;141;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Selatan;20;404078;57150385;141;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Selatan;25;403470;57123237;142;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Selatan;30;402526;57078470;142;1031669;742635;289034;662027;302879;172987;108274;248403;376407;478160;886753;1460643;787783;1285930;1505909;1545932;2492749;1547918;1565878;1652013;1453446;606901;781133;971048;1803538
Indonesia;Aceh;Aceh Selatan;50;397510;56825023;143;1025309;713512;311796;660261;302455;172301;107969;247762;375829;477218;886212;1459211;786768;1283486;1502436;1538668;2481755;1543287;1541314;1632544;1434217;596567;773983;960644;1791906
Indonesia;Aceh;Aceh Selatan;75;384681;56006573;146;992452;651983;340469;650271;297491;168329;105398;242945;370075;470077;875677;1442351;772753;1257735;1466048;1489543;2422158;1510094;1438688;1546896;1344712;557487;739952;919583;1745675
Indonesia;Aceh;Aceh Singkil;0;191545;17783010;93;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Singkil;10;165163;17718501;107;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Singkil;15;164177;17668411;108;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Singkil;20;163428;17629379;108;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Singkil;25;162973;17606308;108;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Singkil;30;162179;17563298;108;2171677;569333;1602344;1309679;604786;2144160;2220826;2989540;3515201;2553158;5634429;7367330;3761412;2184819;3511622;1576927;1607227;829019;652815;783134;1434350;617526;939508;617219;922203
Indonesia;Aceh;Aceh Singkil;50;157873;17317178;110;2163554;548693;1614861;1307540;603535;2140604;2216437;2986667;3511662;2550297;5626610;7355559;3757856;2182876;3507845;1570760;1600220;824728;644656;775845;1407459;608001;916874;604563;897592
Indonesia;Aceh;Aceh Singkil;75;144680;16435464;114;2119463;481995;1637468;1290072;593557;2114977;2185599;2956747;3473618;2508844;5565218;7293222;3725680;2166819;3477671;1534589;1563284;805125;602704;744623;1304286;558275;820261;534299;808714
Indonesia;Aceh;Aceh Tamiang;0;217592;18636038;86;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tamiang;10;185929;18508719;100;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tamiang;15;182962;18397586;101;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tamiang;20;181750;18342624;101;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tamiang;25;181103;18313072;101;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tamiang;30;179546;18238200;102;925949;1006841;-80892;432291;247020;198558;313714;348841;663848;1005244;672012;985021;1388635;855530;1534317;1731545;1495036;783301;1250010;828432;1299868;944793;1423591;1204942;764324
Indonesia;Aceh;Aceh Tamiang;50;172422;17882991;104;918722;975435;-56713;430749;246038;197546;312484;348131;662314;1003124;670683;981586;1387092;854393;1529456;1725681;1482536;775432;1234506;818806;1277046;929964;1404782;1184337;755204
Indonesia;Aceh;Aceh Tamiang;75;146749;16257081;111;864243;859714;4529;419411;235044;186011;297560;338832;639436;976797;650673;949754;1358198;843396;1491843;1667305;1375040;718352;1143132;759138;1151118;836291;1265270;1031167;679573
Indonesia;Aceh;Aceh Tengah;0;470712;59606008;127;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tengah;10;432798;59571150;138;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tengah;15;430221;59428029;138;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tengah;20;428801;59345258;138;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tengah;25;427547;59272230;139;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tengah;30;425516;59150462;139;996651;245394;751258;661989;549822;186316;498101;626789;949122;409263;163581;1101194;575081;496244;609809;703098;1119177;1273886;2530244;1965300;2354464;1999558;1384055;1223976;545258
Indonesia;Aceh;Aceh Tengah;50;415293;58523977;141;986942;206676;780265;659426;542279;185925;489283;623404;944516;407910;162261;1095846;571566;494748;606701;695504;1100630;1264562;2500507;1944865;2328806;1978697;1364493;1211214;539576
Indonesia;Aceh;Aceh Tengah;75;387148;56404709;146;941897;104219;837678;630837;504882;179459;437468;597758;900335;396386;153209;1052268;544810;481131;586641;662517;1035218;1224152;2382419;1862892;2220287;1901746;1296814;1157901;512610
Indonesia;Aceh;Aceh Tenggara;0;418226;60559619;145;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tenggara;10;399650;60512023;151;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tenggara;15;398895;60471392;152;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tenggara;20;398442;60445553;152;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tenggara;25;398117;60426632;152;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Tenggara;30;397464;60387219;152;850669;293904;556765;554807;298252;280755;458063;591276;490421;974950;1079377;1904005;2849829;610587;1190882;287215;1350132;536680;1274509;777805;874571;361580;595295;586619;787096
Indonesia;Aceh;Aceh Tenggara;50;394424;60174672;153;844581;277829;566751;551194;296630;279855;456056;588089;488143;968241;1075847;1898501;2840236;608589;1184495;285937;1336445;534302;1261509;770991;861591;355087;582852;580881;775303
Indonesia;Aceh;Aceh Tenggara;75;386450;59484437;154;805703;242582;563122;516505;283986;271662;437420;566113;473109;921199;1037086;1845305;2752957;594195;1143919;275284;1254720;509966;1184006;731609;808025;326543;529774;544810;717278
Indonesia;Aceh;Aceh Timur;0;542690;55568838;102;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Timur;10;468396;55398412;118;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Timur;15;460688;55108766;120;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Timur;20;457721;54954392;120;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Timur;25;456057;54870706;120;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Timur;30;451962;54642936;121;2176315;1926443;249872;512816;558995;371082;659676;860109;415431;605028;630647;3565701;2172490;2691742;3775733;2925543;6031965;4530171;5072328;2518619;3198535;1875027;2074298;1599795;1233200
Indonesia;Aceh;Aceh Timur;50;438912;53882283;123;2147587;1798650;348938;510982;554748;370723;655371;857295;412568;600670;628113;3553588;2164193;2680618;3755680;2900601;5908516;4469371;5000955;2473930;3113861;1841097;2028338;1561012;1204689
Indonesia;Aceh;Aceh Timur;75;383888;49389775;129;1882519;1309065;573454;496384;516410;364102;612244;818633;387679;568724;603462;3440521;2079649;2527677;3490819;2527825;4832346;3805031;4362896;2078832;2459101;1566229;1680087;1222203;974567
Indonesia;Aceh;Aceh Utara;0;271159;20027007;74;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Utara;10;199593;19921721;100;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Utara;15;195462;19764891;101;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Utara;20;193682;19683903;102;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Utara;25;192476;19630776;102;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Utara;30;189688;19493841;103;1492396;1502821;-10425;276336;241609;147786;419649;529010;576579;442938;967078;1848422;1714980;1278741;1338945;716480;2250187;1939781;3489747;2722905;3359353;2199132;2713270;2438582;1221211
Indonesia;Aceh;Aceh Utara;50;179727;18952901;105;1479587;1414306;65281;275886;240474;146767;417522;527628;573415;441100;964800;1842985;1711701;1276166;1334291;708100;2210341;1919079;3446373;2704492;3325156;2179787;2681423;2420838;1202587
Indonesia;Aceh;Aceh Utara;75;150414;16836991;112;1378906;1102987;275920;270846;231071;139465;395627;504791;539964;418947;932098;1748271;1639416;1225206;1282046;650096;1958136;1789993;3177772;2563112;3089680;2046654;2418782;2233852;1080117
Indonesia;Aceh;Banda Aceh;0;5904;24143;4;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Banda Aceh;10;418;18477;44;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Banda Aceh;15;329;15576;47;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Banda Aceh;20;296;14285;48;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Banda Aceh;25;266;13199;50;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Banda Aceh;30;241;12265;51;931;2129;-1198;58;38;0;1560;9041;1600;681;105;2287;792;1734;495;0;42;0;0;650;294;292;139;368;301
Indonesia;Aceh;Banda Aceh;50;154;8259;54;859;1629;-769;58;38;0;1471;8841;1489;651;85;1988;689;1646;495;0;42;0;0;452;114;198;117;292;241
Indonesia;Aceh;Banda Aceh;75;69;3758;55;571;1202;-631;22;38;0;1029;6659;779;344;31;1158;535;1029;427;0;42;0;0;114;22;47;49;209;37
Indonesia;Aceh;Bener Meriah;0;193068;23103919;120;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Bener Meriah;10;182424;23087195;127;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Bener Meriah;15;181128;23010658;127;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Bener Meriah;20;180377;22964580;127;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Bener Meriah;25;179733;22924793;128;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Bener Meriah;30;178829;22868021;128;547615;441609;106006;200193;166904;32400;348906;145628;692068;259145;140537;534856;485725;507340;545028;342320;665067;505949;1492301;871243;1241271;863453;833908;761116;412168
Indonesia;Aceh;Bener Meriah;50;174157;22575601;130;539662;414472;125191;199080;165441;32096;344750;144397;688545;258161;138929;531927;482893;506114;542327;337785;649423;495111;1464070;855066;1213278;849955;822441;749876;400904
Indonesia;Aceh;Bener Meriah;75;157730;21406024;136;494542;314284;180258;184725;157068;29125;309802;134635;649089;247779;129772;499411;456650;487180;516046;308353;574415;436267;1294240;773624;1091795;778500;762855;696262;362340
Indonesia;Aceh;Bireuen;0;176994;15466143;87;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Bireuen;10;136093;15408706;113;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Bireuen;15;133333;15282137;115;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Bireuen;20;132078;15219952;115;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Bireuen;25;131167;15176659;116;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Bireuen;30;128698;15045339;117;629162;845140;-215978;182172;136336;7473;91339;68697;170963;189517;364547;551117;541599;509216;722616;676277;2730078;1298611;1206405;800918;816753;676389;604667;730760;765110
Indonesia;Aceh;Bireuen;50;120959;14591847;121;613210;756036;-142826;181987;135613;7412;89212;67611;169003;187393;362418;545486;539226;506233;717327;664904;2686915;1278953;1163537;765331;778499;643782;569238;699516;731026
Indonesia;Aceh;Bireuen;75;104166;13364320;128;552119;558537;-6418;179036;130779;6345;79893;60803;159044;173696;347412;497851;515213;480844;687160;615971;2509237;1187745;1007178;640658;655673;542619;455515;590642;623302
Indonesia;Aceh;Gayo Lues;0;544972;80907125;148;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Gayo Lues;10;529672;80879480;153;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Gayo Lues;15;528167;80790242;153;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Gayo Lues;20;527185;80730804;153;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Gayo Lues;25;526419;80684171;153;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Gayo Lues;30;525181;80607075;153;911504;262566;648938;695152;569839;258197;757620;339944;594153;1815616;367966;1239342;658483;507199;654339;668609;1408081;859917;1801295;1153918;2114354;1168098;996199;899489;525268
Indonesia;Aceh;Gayo Lues;50;517726;80129602;155;900521;225289;675232;693113;568615;258010;751733;338990;592478;1812616;367105;1234251;657386;504738;649180;656350;1376703;849573;1768189;1138090;2085064;1150511;974032;877291;507440
Indonesia;Aceh;Gayo Lues;75;495490;78375487;158;845286;122092;723194;669813;552044;253782;703638;329455;570017;1786544;357979;1187281;640302;488095;626217;604288;1233804;800590;1618670;1060528;1955739;1055998;883223;783795;434495
Indonesia;Aceh;Langsa;0;19661;878658;45;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Langsa;10;11755;849542;72;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Langsa;15;10956;823887;75;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Langsa;20;10761;816546;76;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Langsa;25;10658;812627;76;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Langsa;30;10432;802975;77;19642;91647;-72004;5581;5638;3145;18203;8262;11017;8637;8957;22199;37657;11968;37549;5105;22432;29786;28647;42813;57207;22113;18939;10932;15345
Indonesia;Aceh;Langsa;50;9709;773066;80;19106;88275;-69169;5552;5578;3145;18033;8262;10957;8552;8930;21975;37489;11898;37212;4941;21780;28736;27264;40801;54358;21379;18444;10515;14532
Indonesia;Aceh;Langsa;75;7731;660836;85;16284;81866;-65581;5145;5022;2819;16961;7658;10839;7861;8608;20066;36140;11737;34404;3930;18286;23695;21448;31594;41412;16984;13574;8512;11563
Indonesia;Aceh;Lhokseumawe;0;13827;358521;26;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Lhokseumawe;10;5354;351490;66;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Lhokseumawe;15;4824;331112;69;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Lhokseumawe;20;4622;322081;70;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Lhokseumawe;25;4453;314752;71;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Lhokseumawe;30;4094;296818;72;10170;26444;-16274;622;1355;453;1944;4798;2800;6206;5018;20246;6653;8043;7679;3676;20229;13565;30960;9930;21161;13952;20481;14373;9594
Indonesia;Aceh;Lhokseumawe;50;2952;233024;79;8753;20070;-11317;608;1239;453;1739;4489;2529;5605;4357;18914;6509;7456;7245;2849;17293;11967;25765;7557;16682;11305;16359;12810;8826
Indonesia;Aceh;Lhokseumawe;75;1206;107910;89;4872;10195;-5322;353;786;189;775;2889;1444;2967;2519;11188;4492;4535;4826;1416;9974;6433;12358;3787;9617;5763;7673;7891;5319
Indonesia;Aceh;Nagan Raya;0;342393;36733367;107;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Nagan Raya;10;316416;36665136;116;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Nagan Raya;15;314480;36577532;116;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Nagan Raya;20;313044;36514085;117;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Nagan Raya;25;312344;36483149;117;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Nagan Raya;30;310396;36390940;117;2263146;750656;1512490;1100024;373640;501119;377570;2056426;723196;1282447;1962078;6586362;3693909;7523934;4753556;3973838;2462518;1405151;2046490;2632918;2026636;1062959;778126;1294899;1171408
Indonesia;Aceh;Nagan Raya;50;302521;36005666;119;2245155;715520;1529635;1097584;373093;500618;375877;2053101;721300;1280851;1959651;6576173;3689594;7512136;4726663;3905308;2417686;1390425;2015319;2591653;1995947;1032145;759423;1264425;1154438
Indonesia;Aceh;Nagan Raya;75;277894;34628060;125;2124305;604758;1519547;1081909;367790;494458;363353;2022950;706995;1257285;1938719;6448254;3642270;7318779;4493556;3251016;2142871;1288994;1841537;2399002;1843567;916391;685894;1146690;1082422
Indonesia;Aceh;Pidie;0;297419;34391608;116;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Pidie;10;250496;34323320;137;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Pidie;15;248262;34218302;138;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Pidie;20;247128;34159085;138;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Pidie;25;246233;34114537;139;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Pidie;30;244152;34004707;139;445717;567273;-121556;372687;310647;176301;189380;59451;193358;694351;289280;762122;371472;793762;190484;337831;833593;285612;421388;887171;440555;674902;523467;452319;545633
Indonesia;Aceh;Pidie;50;238112;33636491;141;435178;533607;-98429;371357;310407;176124;187807;59092;193091;690668;289178;758097;367830;789516;189252;334078;813573;275160;401264;838680;421296;653965;491250;437888;524350
Indonesia;Aceh;Pidie;75;225335;32653554;145;395250;463293;-68043;363036;307679;174458;182012;56017;190985;669525;286187;729137;350033;760340;183396;309589;717905;234415;340298;690384;353352;569427;393423;380924;452984
Indonesia;Aceh;Pidie Jaya;0;96641;10244367;106;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Pidie Jaya;10;81086;10219858;126;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Pidie Jaya;15;80275;10187568;127;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Pidie Jaya;20;79905;10169660;127;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Pidie Jaya;25;79610;10155668;128;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Pidie Jaya;30;79090;10129559;128;270030;250115;19916;85379;31200;9424;121549;34196;73307;314089;199047;841278;312799;573927;338679;293225;357961;86802;190880;504942;280488;159699;168064;292754;670975
Indonesia;Aceh;Pidie Jaya;50;77016;10012598;130;266732;235241;31490;84954;31019;9390;121011;33845;73070;312249;198024;837892;311657;571568;337276;289168;355007;85719;187257;487938;274940;156507;162800;286213;660591
Indonesia;Aceh;Pidie Jaya;75;70621;9549108;135;244277;189596;54682;80740;28806;8852;113961;31567;70077;297381;184641;798637;297851;546220;322655;264065;335842;77390;168573;403082;243797;120927;133279;246074;599690
Indonesia;Aceh;Sabang;0;12481;1226590;98;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Sabang;10;10622;1222277;115;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Sabang;15;10494;1214732;116;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Sabang;20;10412;1209452;116;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Sabang;25;10363;1206380;116;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Sabang;30;10135;1191356;118;20029;77926;-57898;8265;17219;3365;32390;2110;10502;16968;749;33610;13187;39679;11774;7260;34470;24832;22557;39592;22294;27486;19422;14428;38474
Indonesia;Aceh;Sabang;50;9734;1161902;119;19526;72377;-52851;8065;16934;3340;31730;2074;10233;16309;631;32712;12990;39079;11398;7127;34336;24398;22187;39003;21956;26752;18711;13734;35876
Indonesia;Aceh;Sabang;75;8072;1012053;125;16216;51662;-35446;7368;15021;2928;29096;1830;8025;13398;289;28486;11671;34939;9290;6218;30061;20153;15605;31335;17030;22383;13902;10417;27308
Indonesia;Aceh;Simeulue;0;183753;20545425;112;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Simeulue;10;172299;20515192;119;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Simeulue;15;171691;20490135;119;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Simeulue;20;171187;20469035;120;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Simeulue;25;170837;20454835;120;;;;;;;;;;;;;;;;;;;;;;;;;
