"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"IDN",1,2001,18277.75302341636216608,10389291.734040471290441
"IDN",2,2001,423.61480886156043788,255120.2388726882398103
"IDN",3,2001,13909.71772237382835176,6811421.463458792798409
"IDN",4,2001,1054.37955516784187572,601690.667672851220560
"IDN",5,2001,14198.56156817353113057,9811319.684194657155987
"IDN",6,2001,3499.01276230910740200,2282274.7583070283371778
"IDN",7,2001,3.9014181477083336,933.40341190544204
"IDN",8,2001,46911.60863509712087513,33163336.622138597565078
"IDN",9,2001,6798.09458043600535550,4580985.6932241713672287
"IDN",10,2001,2675.77170468773688614,1693894.305996527867086
"IDN",11,2001,4226.07805621670332776,2826275.7940930233194416
"IDN",12,2001,77939.63018978997850501,48586959.779290914351504
"IDN",13,2001,18966.52871089820454847,10173713.300385551166895
"IDN",14,2001,64075.85238135183536800,41849260.179209114266258
"IDN",15,2001,73041.96326969561118535,46542322.253435302925708
"IDN",16,2001,1718.52073271651924263,929854.698667992361756
"IDN",17,2001,10335.88103336571544686,5471758.962666140441810
"IDN",18,2001,7354.23739483246999998,5338189.232275346688931
"IDN",19,2001,4539.52999541315010761,3061751.139176769977202
"IDN",20,2001,2882.10076715761706717,1792196.024692904174015
"IDN",21,2001,4725.30955001380409440,2647792.528977096946115
"IDN",22,2001,6077.70809926893425321,4701677.031783344960040
"IDN",23,2001,12588.91000578164987380,8933899.121363276515235
"IDN",24,2001,156511.09222680247007083,137566571.713053312483282
"IDN",25,2001,16399.75303084767889298,11551165.762134222000614
"IDN",26,2001,8488.29890223221698879,5398339.946371618763167
"IDN",27,2001,17547.06596780332428756,12062297.1667619684581045
"IDN",28,2001,15947.12631712670175889,9863627.883888244220151
"IDN",29,2001,4519.49241156100049179,3233153.63674229709449428
"IDN",30,2001,15015.65775681230646961,8839369.8351871211046296
"IDN",31,2001,59014.41703641623311802,30769839.4440228370591247
"IDN",32,2001,54337.55807005424707136,20173572.880305434309643
"IDN",33,2001,82.86142501829749979,42342.44736937075371055
"IDN",1,2002,10953.29804053880416681,6435881.0785801622594442
"IDN",2,2002,312.68389068849452339,186856.0389590278044418
"IDN",3,2002,11247.04266929458998479,5400519.543006470784164
"IDN",4,2002,1761.42751327551344522,1015307.522607059763177
"IDN",5,2002,10421.96130679823511764,7248839.352771874188774
"IDN",6,2002,8013.14892680051541182,5312855.787676307394459
"IDN",7,2002,0.15302920474853515,19.66551280711897
"IDN",8,2002,45072.79299634971983273,35605771.102509358513765
"IDN",9,2002,3849.93633318949356809,2488703.650990864180997
"IDN",10,2002,1898.15634272514447790,1086778.708995350672377
"IDN",11,2002,4052.78578915658142374,2605669.461437616380705
"IDN",12,2002,96865.99146679077333404,61147858.154119091326819
"IDN",13,2002,24323.69872474893237051,13426395.939362218849164
"IDN",14,2002,102874.85480712691565862,72530669.292620217865263
"IDN",15,2002,81032.47804901493562969,50710700.088357082854483
"IDN",16,2002,5529.00158856736674005,2964773.743091799644605
"IDN",17,2002,9347.49137497664621128,5114148.7133512078905312
"IDN",18,2002,23401.57223138215105360,17259209.428693886368164
"IDN",19,2002,14595.99735040575850525,10388518.139951614737151
"IDN",20,2002,2674.89678189416076630,1565398.522965082401975
"IDN",21,2002,4607.74071981564361055,2515651.474638221857734
"IDN",22,2002,14749.79156633739855795,12600757.782554015761006
"IDN",23,2002,20479.86277707479458671,14578353.1035629703416924
"IDN",24,2002,154560.57937335944916292,163288115.433833055204944
"IDN",25,2002,12107.25057677924406786,8553140.071431399691221
"IDN",26,2002,12727.88888836314551715,8427668.8830454002994025
"IDN",27,2002,33169.21274230242446943,23505510.632239280090517
"IDN",28,2002,15851.04498576710819442,10077547.612698895412587
"IDN",29,2002,7682.26075288768484418,5649823.1673146036402908
"IDN",30,2002,15383.95116835758079153,10663593.206025667366704
"IDN",31,2002,65958.21131513545031471,45048902.4557436855636570
"IDN",32,2002,39736.38659192858707256,19348664.1972241619711852
"IDN",33,2002,32.31236269136664868,16026.030457549872052
"IDN",1,2003,11815.60374111422481608,7846087.100371014508412
"IDN",2,2003,179.53921397695854333,114900.269901633692677
"IDN",3,2003,7123.08211652009731459,3409044.764543960332765
"IDN",4,2003,293.13971569875411985,161601.25881057993946
"IDN",5,2003,8103.87339675625293570,5678599.525796073642237
"IDN",6,2003,2805.35640674320082958,1984711.7009803257791427
"IDN",7,2003,0.45895200782823351,119.42901735202150
"IDN",8,2003,21497.48829843146003111,17174613.039160294687297
"IDN",9,2003,1979.23544734665217730,1395484.520557774912382
"IDN",10,2003,790.43282850836476969,492656.741136954963835
"IDN",11,2003,2910.15628731483435240,2009349.168631569943207
"IDN",12,2003,55966.79658350832786392,36889715.279911467603769
"IDN",13,2003,18402.04977441868600102,10462809.863740235383677
"IDN",14,2003,129123.22049579502193531,143146405.2751753724357205
"IDN",15,2003,53623.79115470111615988,35256174.061537819586545
"IDN",16,2003,1775.75161083746267734,1004658.387263654341921
"IDN",17,2003,4981.91561450678410007,2899767.852357514860196
"IDN",18,2003,10037.63255940495222940,7842196.694688340157746
"IDN",19,2003,4306.58406899997979091,3058724.288565316720379
"IDN",20,2003,1719.31332348785923203,995249.016692034253775
"IDN",21,2003,3847.92468977745527522,2090872.3382800083854351
